,country,year,d_protest,preds_proba
421,Israel,2017,1,0.879688090934464
422,Israel,2018,1,0.8590616481687552
423,Israel,2019,1,0.8400897351078104
424,Israel,2020,1,0.8500254781275521
425,Israel,2021,1,0.8502350035581688
426,Israel,2022,1,0.8101895869343754
427,Israel,2023,1,0.7910371212297362
428,Italy,2020,1,0.6900923274110994
429,Italy,2021,1,0.6886166115465007
430,Italy,2022,1,0.6757493906191938
431,Italy,2023,1,0.6658771064391238
432,Ivory Coast,2017,0,0.423582883803159
433,Ivory Coast,2018,0,0.48689516018115675
434,Ivory Coast,2019,1,0.4866504716739469
435,Ivory Coast,2020,1,0.5044326136580712
436,Ivory Coast,2021,1,0.5122831583426026
437,Ivory Coast,2022,1,0.49086307084114855
438,Ivory Coast,2023,0,0.4729809366424198
439,Jamaica,2018,0,0.581915858943008
440,Jamaica,2019,0,0.5870682901429933
441,Jamaica,2020,0,0.59011750684296
442,Jamaica,2021,1,0.6047309195859338
443,Jamaica,2022,1,0.6042285552852115
444,Jamaica,2023,1,0.6021685109397604
445,Japan,2018,1,0.6793057675361545
446,Japan,2019,1,0.6735319971749067
447,Japan,2020,1,0.6904463766250745
448,Japan,2021,1,0.6871244424709086
449,Japan,2022,1,0.6824174579636165
450,Japan,2023,1,0.6667287764493488
451,Jordan,2017,1,0.775757310145559
452,Jordan,2018,1,0.7608026778951973
453,Jordan,2019,1,0.7467039477245867
454,Jordan,2020,1,0.7509229650507705
455,Jordan,2021,1,0.7458718532686441
456,Jordan,2022,1,0.7155265183257093
457,Jordan,2023,1,0.6761992993499668
458,Kazakhstan,2018,1,0.6661940838183613
459,Kazakhstan,2019,1,0.7017338921921913
460,Kazakhstan,2020,1,0.7297124837192681
461,Kazakhstan,2021,1,0.720859821291321
462,Kazakhstan,2022,1,0.7221705819878237
463,Kazakhstan,2023,1,0.7120920285192591
464,Kenya,2017,1,0.8788219676724076
465,Kenya,2018,1,0.8364534678469728
466,Kenya,2019,1,0.8399896230162358
467,Kenya,2020,1,0.816750730094067
468,Kenya,2021,1,0.7971347516422851
469,Kenya,2022,1,0.7717764910272706
