,country,year,d_riot,preds_proba
91,Bhutan,2022,0,0.2617720391326319
92,Bhutan,2023,0,0.3833687576953609
93,Bolivia,2018,1,0.3499625372661282
94,Bolivia,2019,1,0.3389289451264604
95,Bolivia,2020,1,0.3424757034354945
96,Bolivia,2021,1,0.3467161540401009
97,Bolivia,2022,1,0.3405617806863626
98,Bolivia,2023,1,0.38080744118416165
99,Bosnia-Herzegovina,2018,0,0.2678429412779693
100,Bosnia-Herzegovina,2019,0,0.27991349901458606
101,Bosnia-Herzegovina,2020,0,0.27974085988428554
102,Bosnia-Herzegovina,2021,0,0.27803799011581926
103,Bosnia-Herzegovina,2022,0,0.2755556554033319
104,Bosnia-Herzegovina,2023,0,0.27232311713133783
105,Botswana,2017,0,0.052087098466671596
106,Botswana,2018,0,0.060824888054068264
107,Botswana,2019,0,0.07462383830078519
108,Botswana,2020,0,0.03602989548171292
109,Botswana,2021,0,0.020334907388589445
110,Botswana,2022,0,0.021545425840384907
111,Botswana,2023,0,0.05576512832454632
112,Brazil,2018,1,0.6758591837998617
113,Brazil,2019,1,0.6672259141235114
114,Brazil,2020,1,0.6645720718185693
115,Brazil,2021,1,0.6645731737060235
116,Brazil,2022,1,0.6127027381122676
117,Brazil,2023,1,0.6052849953593199
118,Bulgaria,2018,0,0.26632625055930526
119,Bulgaria,2019,0,0.33388832403759366
120,Bulgaria,2020,1,0.33344783536956046
121,Bulgaria,2021,0,0.39590783264794077
122,Bulgaria,2022,0,0.32049722340725895
123,Bulgaria,2023,0,0.29704606398426225
124,Burkina Faso,2017,1,0.8310816557160651
125,Burkina Faso,2018,1,0.8575857240127881
126,Burkina Faso,2019,1,0.7808231092544594
127,Burkina Faso,2020,0,0.7251488513242489
128,Burkina Faso,2021,1,0.5612171900170008
129,Burkina Faso,2022,1,0.615623353632395
130,Burkina Faso,2023,0,0.5771839493367521
131,Burundi,2017,1,0.828296842131372
132,Burundi,2018,1,0.5835234880757049
133,Burundi,2019,1,0.6152328104052429
134,Burundi,2020,1,0.6499524302181364
135,Burundi,2021,1,0.727618675742749
136,Burundi,2022,1,0.6666808372321671
137,Burundi,2023,1,0.6976004718986926
138,Cambodia (Kampuchea),2017,0,0.23152484560331762
139,Cambodia (Kampuchea),2018,0,0.3272141649518357
140,Cambodia (Kampuchea),2019,0,0.3297520798487698
141,Cambodia (Kampuchea),2020,0,0.2820791279063103
142,Cambodia (Kampuchea),2021,0,0.2973063374143265
143,Cambodia (Kampuchea),2022,0,0.2776353038061997
144,Cambodia (Kampuchea),2023,0,0.26039093583917217
145,Cameroon,2017,1,0.08769316197157177
146,Cameroon,2018,0,0.4550771372287982
147,Cameroon,2019,0,0.30654768417360617
148,Cameroon,2020,1,0.2991630423385636
149,Cameroon,2021,1,0.4886695769706668
150,Cameroon,2022,1,0.482603671290867
151,Cameroon,2023,1,0.45529134829595314
152,Canada,2021,1,0.36844001073890803
153,Canada,2022,0,0.42470139954962294
154,Canada,2023,0,0.35159094567774984
155,Cabo Verde,2020,0,0.2230041955446223
156,Cabo Verde,2021,0,0.25711180109259385
157,Cabo Verde,2022,0,0.25340183071471417
158,Cabo Verde,2023,0,0.24942880723294736
159,Central African Republic,2017,0,0.36547077833694547
160,Central African Republic,2018,0,0.31503086597244767
161,Central African Republic,2019,0,0.31497547164784995
162,Central African Republic,2020,1,0.30026744710588954
163,Central African Republic,2021,0,0.4853153923081226
164,Central African Republic,2022,0,0.2920541290405831
165,Central African Republic,2023,0,0.27767280922483273
166,Chad,2017,0,0.04134492354823146
167,Chad,2018,0,0.061671487493338124
168,Chad,2019,0,0.05242201436286159
169,Chad,2020,0,0.05194200408594515
170,Chad,2021,1,0.09628841324131486
171,Chad,2022,1,0.33158655820395566
172,Chad,2023,0,0.3497283132633662
173,Chile,2018,1,0.5494958534573401
174,Chile,2019,1,0.5406466016510053
175,Chile,2020,1,0.49684259997765856
176,Chile,2021,1,0.45424707221641547
177,Chile,2022,1,0.44864989563083785
178,Chile,2023,1,0.443452940037258
179,China,2018,1,0.5588585235102996
180,China,2019,1,0.5430364568361521
181,China,2020,1,0.5366608508496208
182,China,2021,0,0.5352854776571918
183,China,2022,1,0.49639148744492934
184,China,2023,0,0.5245520280594064
185,Colombia,2018,1,0.52295520890476
186,Colombia,2019,1,0.6431259370572381
187,Colombia,2020,1,0.686316810932251
188,Colombia,2021,1,0.6861917770056666
189,Colombia,2022,1,0.6782821421742458
190,Colombia,2023,1,0.6747075473995625
191,Comoros,2020,0,0.1741942212271979
192,Comoros,2021,0,0.2095223425218617
193,Comoros,2022,0,0.2048178405812817
194,Comoros,2023,0,0.16023779032903457
195,Costa Rica,2018,0,0.4967960315173588
196,Costa Rica,2019,1,0.47152969205946127
197,Costa Rica,2020,1,0.5364890054237885
198,Costa Rica,2021,0,0.5396917201766304
199,Costa Rica,2022,0,0.39243920686796496
200,Costa Rica,2023,0,0.4434312913531227
201,Croatia,2018,0,0.3161826034082082
202,Croatia,2019,0,0.3294914585760809
203,Croatia,2020,0,0.32903318822348393
204,Croatia,2021,0,0.24411628422334375
205,Croatia,2022,0,0.2400681555035631
206,Croatia,2023,0,0.23718089549217006
207,Cuba,2018,0,0.4381659180125273
208,Cuba,2019,0,0.4392211023815375
209,Cuba,2020,0,0.438716485986638
210,Cuba,2021,0,0.43238197549857815
211,Cuba,2022,0,0.41407051522756083
212,Cuba,2023,0,0.4032921445265105
213,Cyprus,2018,0,0.3616383499351888
214,Cyprus,2019,0,0.35580780316519073
215,Cyprus,2020,0,0.35824001420180807
216,Cyprus,2021,0,0.3599132907368194
217,Cyprus,2022,1,0.39082415692517775
218,Cyprus,2023,0,0.5686193942171228
219,Czechia,2020,0,0.3819572402836067
220,Czechia,2021,0,0.3695988482897819
221,Czechia,2022,0,0.3656459299774334
222,Czechia,2023,0,0.36423499341587684
223,DR Congo (Zaire),2017,1,0.829072869242963
224,DR Congo (Zaire),2018,1,0.8542784140064024
