,country,year,d_sb,preds,preds_proba
225,France,2018,1,0,0.09876587708308268
226,France,2019,0,1,0.8013214848841717
227,France,2020,0,0,0.2840076820523616
228,France,2021,0,0,0.10058818717205135
229,France,2022,0,0,0.10519698018302663
230,France,2023,0,0,0.11753583619228856
231,Switzerland,2017,0,0,0.0001381430350633014
232,Switzerland,2018,0,0,0.040003393054327166
233,Switzerland,2019,0,0,0.040003393054327166
234,Switzerland,2020,0,0,0.0001381430350633014
235,Switzerland,2021,0,0,0.0001381430350633014
236,Switzerland,2022,0,0,0.0001381430350633014
237,Switzerland,2023,0,0,0.0001381430350633014
238,Spain,2017,0,0,0.22120462158149237
239,Spain,2018,0,0,0.10578850567787407
240,Spain,2019,0,0,0.10488369997079298
241,Spain,2020,0,0,0.21918232407371155
242,Spain,2021,0,0,0.10100184362743429
243,Spain,2022,0,0,0.10208684467157665
244,Spain,2023,0,0,0.10384944129861864
245,Portugal,2017,0,0,0.0001381430350633014
246,Portugal,2018,0,0,0.0001381430350633014
247,Portugal,2019,0,0,0.0001381430350633014
248,Portugal,2020,0,0,0.0001381430350633014
249,Portugal,2021,0,0,0.0001381430350633014
250,Portugal,2022,0,0,0.0001381430350633014
251,Portugal,2023,0,0,0.0001381430350633014
252,Germany,2017,0,0,0.11514588477183747
253,Germany,2018,0,0,0.26506748939822133
254,Germany,2019,0,0,0.2651570642156672
255,Germany,2020,0,0,0.02884030842859132
256,Germany,2021,0,0,0.019029645747973487
257,Germany,2022,0,0,0.013753113610454804
258,Germany,2023,0,0,0.0130057294549989
259,Poland,2017,0,0,0.012796074437887862
260,Poland,2018,0,0,0.012796074437887862
261,Poland,2019,0,0,0.012796074437887862
262,Poland,2020,0,0,0.012796074437887862
263,Poland,2021,0,0,0.012796074437887862
264,Poland,2022,0,0,0.012796074437887862
265,Poland,2023,0,0,0.012796074437887862
266,Austria,2017,0,0,1.4887773486267276e-05
267,Austria,2018,0,0,1.4887773486267276e-05
268,Austria,2019,0,0,1.4887773486267276e-05
269,Austria,2020,0,0,1.4887773486267276e-05
270,Austria,2021,0,0,1.4887773486267276e-05
271,Austria,2022,0,0,1.4887773486267276e-05
272,Austria,2023,0,0,1.4887773486267276e-05
273,Hungary,2017,0,0,0.012796074437887862
274,Hungary,2018,0,0,0.012796074437887862
275,Hungary,2019,0,0,0.012796074437887862
276,Hungary,2020,0,0,0.012796074437887862
277,Hungary,2021,0,0,0.012796074437887862
278,Hungary,2022,0,0,0.012796074437887862
279,Hungary,2023,0,0,0.012796074437887862
280,Czechia,2017,0,0,0.001010045577312376
281,Czechia,2018,0,0,0.0010799639745906599
282,Czechia,2019,0,0,0.0010799639745906599
283,Czechia,2020,0,0,0.0011032186387988018
284,Czechia,2021,0,0,0.001237702008517936
285,Czechia,2022,0,0,0.006720897729065811
286,Czechia,2023,0,0,0.0014494178004252852
287,Slovakia,2017,0,0,0.007234076873163164
288,Slovakia,2018,0,0,0.0078241394949142
289,Slovakia,2019,0,0,0.0061480665852107165
290,Slovakia,2020,0,0,0.004600857713243354
291,Slovakia,2021,0,0,0.004600857713243354
292,Slovakia,2022,0,0,0.004915531397626286
293,Slovakia,2023,0,0,0.005102377436490261
294,Italy,2017,0,0,0.0001381430350633014
295,Italy,2018,0,0,0.040003393054327166
296,Italy,2019,0,0,0.040003393054327166
297,Italy,2020,0,0,0.0001381430350633014
298,Italy,2021,0,0,0.0001381430350633014
299,Italy,2022,0,0,0.0001381430350633014
300,Italy,2023,0,0,0.0001381430350633014
