,country,year,d_civil_war,preds,preds_proba
301,Malta,2017,0,0,0.02794578959040826
302,Malta,2018,0,0,0.0
303,Malta,2019,0,0,0.0
304,Malta,2020,0,0,0.0
305,Malta,2021,0,0,0.0
306,Malta,2022,0,0,0.0
307,Malta,2023,0,0,6.666666666666667e-05
308,Albania,2017,0,0,0.0
309,Albania,2018,0,0,0.0
310,Albania,2019,0,0,0.0
311,Albania,2020,0,0,0.0
312,Albania,2021,0,0,0.0
313,Albania,2022,0,0,0.0
314,Albania,2023,0,0,0.0
315,Serbia,2017,0,0,0.0
316,Serbia,2018,0,0,0.0
317,Serbia,2019,0,0,0.0
318,Serbia,2020,0,0,0.0
319,Serbia,2021,0,0,0.0
320,Serbia,2022,0,0,0.0
321,Serbia,2023,0,0,0.0
322,Montenegro,2017,0,0,0.0
323,Montenegro,2018,0,0,0.0
324,Montenegro,2019,0,0,0.0
325,Montenegro,2020,0,0,0.0
326,Montenegro,2021,0,0,0.0
327,Montenegro,2022,0,0,0.0
328,Montenegro,2023,0,0,0.0
329,North Macedonia,2017,0,0,0.0
330,North Macedonia,2018,0,0,0.0
331,North Macedonia,2019,0,0,0.0
332,North Macedonia,2020,0,0,0.0
333,North Macedonia,2021,0,0,0.0
334,North Macedonia,2022,0,0,0.0
335,North Macedonia,2023,0,0,0.0
336,Croatia,2017,0,0,0.0
337,Croatia,2018,0,0,0.0
338,Croatia,2019,0,0,0.0
339,Croatia,2020,0,0,0.0
340,Croatia,2021,0,0,0.0
341,Croatia,2022,0,0,0.0
342,Croatia,2023,0,0,0.0
343,Bosnia-Herzegovina,2017,0,0,0.0
344,Bosnia-Herzegovina,2018,0,0,0.014110625757980293
345,Bosnia-Herzegovina,2019,0,0,0.0
346,Bosnia-Herzegovina,2020,0,0,0.0
347,Bosnia-Herzegovina,2021,0,0,0.0
348,Bosnia-Herzegovina,2022,0,0,0.0
349,Bosnia-Herzegovina,2023,0,0,0.0
350,Slovenia,2017,0,0,0.0
351,Slovenia,2018,0,0,0.0
352,Slovenia,2019,0,0,0.0
353,Slovenia,2020,0,0,0.0
354,Slovenia,2021,0,0,0.0
355,Slovenia,2022,0,0,0.0
356,Slovenia,2023,0,0,0.0
357,Greece,2017,0,0,0.0014238095238095238
358,Greece,2018,0,0,0.0
359,Greece,2019,0,0,0.0
360,Greece,2020,0,0,0.0
361,Greece,2021,0,0,0.0
362,Greece,2022,0,0,0.0
363,Greece,2023,0,0,0.0
364,Cyprus,2017,0,0,0.0
365,Cyprus,2018,0,0,0.0
366,Cyprus,2019,0,0,6.666666666666667e-05
367,Cyprus,2020,0,0,0.0011318733145939026
368,Cyprus,2021,0,0,0.0005592118257559433
369,Cyprus,2022,0,0,0.00021875
370,Cyprus,2023,0,0,0.00021875
371,Bulgaria,2017,0,0,0.00018179271708683475
372,Bulgaria,2018,0,0,0.0
373,Bulgaria,2019,0,0,0.0
374,Bulgaria,2020,0,0,0.0
375,Bulgaria,2021,0,0,0.0
376,Bulgaria,2022,0,0,0.0
377,Bulgaria,2023,0,0,0.0
378,Moldova,2017,0,0,0.0
379,Moldova,2018,0,0,0.0
380,Moldova,2019,0,0,0.0
381,Moldova,2020,0,0,0.0
382,Moldova,2021,0,0,0.0
383,Moldova,2022,0,0,0.0
384,Moldova,2023,0,0,0.0
385,Romania,2017,0,0,0.0
386,Romania,2018,0,0,0.0
387,Romania,2019,0,0,0.0
388,Romania,2020,0,0,0.0
389,Romania,2021,0,0,0.0
390,Romania,2022,0,0,0.0
391,Romania,2023,0,0,0.0
392,Russia (Soviet Union),2017,0,0,0.037500813334555606
393,Russia (Soviet Union),2018,0,0,0.03943896268520496
394,Russia (Soviet Union),2019,0,0,0.039813808503637735
395,Russia (Soviet Union),2020,0,0,0.039813808503637735
396,Russia (Soviet Union),2021,0,0,0.22076124379248852
397,Russia (Soviet Union),2022,0,0,0.03831380850363774
398,Russia (Soviet Union),2023,0,0,0.03718880850363774
399,Estonia,2017,0,0,0.0
400,Estonia,2018,0,0,0.0
401,Estonia,2019,0,0,0.0
402,Estonia,2020,0,0,0.0
403,Estonia,2021,0,0,0.0
404,Estonia,2022,0,0,0.0
405,Estonia,2023,0,0,0.0
406,Latvia,2017,0,0,0.0
407,Latvia,2018,0,0,0.0
408,Latvia,2019,0,0,0.0
409,Latvia,2020,0,0,0.0
410,Latvia,2021,0,0,0.0
411,Latvia,2022,0,0,0.0
412,Latvia,2023,0,0,0.0
413,Lithuania,2017,0,0,0.0
414,Lithuania,2018,0,0,0.0
415,Lithuania,2019,0,0,0.0
416,Lithuania,2020,0,0,0.0
417,Lithuania,2021,0,0,0.0
418,Lithuania,2022,0,0,0.0
419,Lithuania,2023,0,0,0.0
420,Ukraine,2017,0,0,0.00731239771546983
421,Ukraine,2018,0,0,0.002637162837162837
422,Ukraine,2019,0,0,0.0
423,Ukraine,2020,0,0,0.0
424,Ukraine,2021,0,0,7.173913043478262e-05
425,Ukraine,2022,0,0,0.00018131868131868132
426,Ukraine,2023,0,0,0.008953621662135595
427,Belarus,2017,0,0,0.0
428,Belarus,2018,0,0,0.0
429,Belarus,2019,0,0,0.0
430,Belarus,2020,0,0,0.0
431,Belarus,2021,0,0,0.0
432,Belarus,2022,0,0,0.0
433,Belarus,2023,0,0,0.0
434,Armenia,2017,0,0,0.010104918926532699
435,Armenia,2018,0,0,0.0
436,Armenia,2019,0,0,0.0
437,Armenia,2020,0,0,0.0
438,Armenia,2021,0,0,0.0005301282051282052
439,Armenia,2022,0,0,0.0
440,Armenia,2023,0,0,0.0
441,Georgia,2017,0,0,0.0013685897435897435
442,Georgia,2018,0,0,0.0
443,Georgia,2019,0,0,0.0
444,Georgia,2020,0,0,0.0
445,Georgia,2021,0,0,0.0005301282051282052
446,Georgia,2022,0,0,0.0
447,Georgia,2023,0,0,0.0
448,Azerbaijan,2017,0,0,0.01611293776056319
449,Azerbaijan,2018,0,0,0.0
450,Azerbaijan,2019,0,0,0.0
451,Azerbaijan,2020,1,0,0.0
452,Azerbaijan,2021,0,0,0.21508658832760746
453,Azerbaijan,2022,0,0,0.0051109321234321225
454,Azerbaijan,2023,0,0,0.04994578269582691
455,Finland,2017,0,0,0.0
456,Finland,2018,0,0,0.0
457,Finland,2019,0,0,0.0
458,Finland,2020,0,0,0.0
459,Finland,2021,0,0,0.0
460,Finland,2022,0,0,0.0
461,Finland,2023,0,0,0.0
462,Sweden,2017,0,0,0.0022830545353837513
463,Sweden,2018,0,0,0.0022830545353837513
464,Sweden,2019,0,0,0.0022830545353837513
465,Sweden,2020,0,0,0.0022830545353837513
466,Sweden,2021,0,0,0.0022830545353837513
467,Sweden,2022,0,0,0.0022830545353837513
468,Sweden,2023,0,0,0.0022830545353837513
469,Norway,2017,0,0,0.0
470,Norway,2018,0,0,0.0
471,Norway,2019,0,0,0.0
472,Norway,2020,0,0,0.0
473,Norway,2021,0,0,0.0
474,Norway,2022,0,0,0.0
475,Norway,2023,0,0,0.0
476,Denmark,2017,0,0,0.0022830545353837513
477,Denmark,2018,0,0,0.0022830545353837513
478,Denmark,2019,0,0,0.0022830545353837513
479,Denmark,2020,0,0,0.0022830545353837513
480,Denmark,2021,0,0,0.0022830545353837513
481,Denmark,2022,0,0,0.0022830545353837513
482,Denmark,2023,0,0,0.0022830545353837513
483,Iceland,2017,0,0,0.0006397042285200181
484,Iceland,2018,0,0,0.000377204228520018
485,Iceland,2019,0,0,0.000377204228520018
486,Iceland,2020,0,0,0.007087383183551911
487,Iceland,2021,0,0,0.0
488,Iceland,2022,0,0,0.0
489,Iceland,2023,0,0,0.0
490,Cabo Verde,2017,0,0,0.0
491,Cabo Verde,2018,0,0,0.0
492,Cabo Verde,2019,0,0,0.0
493,Cabo Verde,2020,0,0,0.0
494,Cabo Verde,2021,0,0,5.306122448979592e-05
495,Cabo Verde,2022,0,0,0.0
496,Cabo Verde,2023,0,0,0.0
497,Guinea-Bissau,2017,0,0,0.0
498,Guinea-Bissau,2018,0,0,0.0
499,Guinea-Bissau,2019,0,0,0.0
500,Guinea-Bissau,2020,0,0,5.306122448979592e-05
501,Guinea-Bissau,2021,0,0,0.0
502,Guinea-Bissau,2022,0,0,0.0
503,Guinea-Bissau,2023,0,0,0.0
504,Equatorial Guinea,2017,0,0,0.0
505,Equatorial Guinea,2018,0,0,0.0
506,Equatorial Guinea,2019,0,0,0.0
507,Equatorial Guinea,2020,0,0,7.692307692307693e-05
508,Equatorial Guinea,2021,0,0,0.02794578959040826
509,Equatorial Guinea,2022,0,0,0.0
510,Equatorial Guinea,2023,0,0,0.0
511,Gambia,2017,0,0,7.692307692307693e-05
512,Gambia,2018,0,0,0.02794578959040826
513,Gambia,2019,0,0,0.0
514,Gambia,2020,0,0,0.0
515,Gambia,2021,0,0,0.0
516,Gambia,2022,0,0,0.0
517,Gambia,2023,0,0,0.0
518,Mali,2017,0,0,0.0
519,Mali,2018,0,0,0.0
520,Mali,2019,0,0,6.666666666666667e-05
521,Mali,2020,0,0,0.0011318733145939026
522,Mali,2021,0,0,0.0005592118257559433
523,Mali,2022,1,0,0.00021875
524,Mali,2023,1,1,0.8577905343551374
525,Senegal,2017,0,0,0.0
526,Senegal,2018,0,0,0.0
527,Senegal,2019,0,0,6.666666666666667e-05
528,Senegal,2020,0,0,0.0011318733145939026
529,Senegal,2021,0,0,0.0005592118257559433
530,Senegal,2022,0,0,0.00021875
531,Senegal,2023,0,0,0.14455836703071615
532,Benin,2017,0,0,0.00739431818181818
533,Benin,2018,0,0,0.009308603896103895
534,Benin,2019,0,0,0.061266492372007104
535,Benin,2020,0,0,0.1800641191690147
536,Benin,2021,0,0,0.2091233668958321
537,Benin,2022,0,0,0.14705363565098473
538,Benin,2023,0,0,0.14455836703071615
539,Mauritania,2017,0,0,0.0
540,Mauritania,2018,0,0,0.0
541,Mauritania,2019,0,0,6.666666666666667e-05
542,Mauritania,2020,0,0,0.0011318733145939026
543,Mauritania,2021,0,0,0.0005592118257559433
544,Mauritania,2022,0,0,0.00021875
545,Mauritania,2023,0,0,0.14455836703071615
546,Niger,2017,0,0,0.00739431818181818
547,Niger,2018,0,0,0.009308603896103895
548,Niger,2019,0,0,0.061266492372007104
549,Niger,2020,0,0,0.1800641191690147
550,Niger,2021,0,0,0.2091233668958321
551,Niger,2022,0,0,0.14705363565098473
552,Niger,2023,0,0,0.14455836703071615
553,Ivory Coast,2017,0,0,0.0
554,Ivory Coast,2018,0,0,0.0
555,Ivory Coast,2019,0,0,6.666666666666667e-05
556,Ivory Coast,2020,0,0,0.0011318733145939026
557,Ivory Coast,2021,0,0,0.0005592118257559433
558,Ivory Coast,2022,0,0,0.00021875
559,Ivory Coast,2023,0,0,0.14455836703071615
560,Guinea,2017,0,0,6.666666666666667e-05
561,Guinea,2018,0,0,0.0011318733145939026
562,Guinea,2019,0,0,0.0005592118257559433
563,Guinea,2020,0,0,0.00021875
564,Guinea,2021,0,0,0.00021875
565,Guinea,2022,0,0,0.00021875
566,Guinea,2023,0,0,0.2316985347169169
567,Burkina Faso,2017,0,0,0.0
568,Burkina Faso,2018,0,0,0.0
569,Burkina Faso,2019,0,0,6.666666666666667e-05
570,Burkina Faso,2020,0,0,0.0011318733145939026
571,Burkina Faso,2021,0,0,0.0005592118257559433
572,Burkina Faso,2022,1,0,0.00021875
573,Burkina Faso,2023,1,1,0.8577905343551374
574,Liberia,2017,0,0,0.0
575,Liberia,2018,0,0,0.0006506368631368631
576,Liberia,2019,0,0,0.0
577,Liberia,2020,0,0,0.0
578,Liberia,2021,0,0,0.0
579,Liberia,2022,0,0,0.0
