,country,year,d_civil_conflict,preds,preds_proba
240,Spain,2019,0,0,0.006186726659167604
241,Spain,2020,0,0,0.012373453318335208
242,Spain,2021,0,0,0.030371203599550055
243,Spain,2022,0,0,0.05793025871766029
244,Spain,2023,0,0,0.06467941507311586
245,Portugal,2017,0,0,0.0011248593925759281
246,Portugal,2018,0,0,0.0011248593925759281
247,Portugal,2019,0,0,0.0
248,Portugal,2020,0,0,0.003374578177727784
249,Portugal,2021,0,0,0.007874015748031496
250,Portugal,2022,0,0,0.03093363329583802
251,Portugal,2023,0,0,0.043869516310461196
252,Germany,2017,0,0,0.0
253,Germany,2018,0,0,0.0005624296962879641
254,Germany,2019,0,0,0.00281214848143982
255,Germany,2020,0,0,0.0044994375703037125
256,Germany,2021,0,0,0.012373453318335208
257,Germany,2022,0,0,0.05061867266591676
258,Germany,2023,0,0,0.06974128233970754
259,Poland,2017,0,0,0.0022497187851518562
260,Poland,2018,0,0,0.020247469066366704
261,Poland,2019,0,0,0.020247469066366704
262,Poland,2020,0,0,0.0984251968503937
263,Poland,2021,0,0,0.14004499437570303
264,Poland,2022,0,0,0.16591676040494938
265,Poland,2023,0,0,0.21372328458942633
266,Austria,2017,0,0,0.001687289088863892
267,Austria,2018,0,0,0.007874015748031496
268,Austria,2019,0,0,0.0140607424071991
269,Austria,2020,0,0,0.024746906636670417
270,Austria,2021,0,0,0.019122609673790775
271,Austria,2022,0,0,0.046681664791901015
272,Austria,2023,0,0,0.07255343082114736
273,Hungary,2017,0,0,0.008998875140607425
274,Hungary,2018,0,0,0.11811023622047244
275,Hungary,2019,0,0,0.05568053993250844
276,Hungary,2020,0,0,0.03262092238470191
277,Hungary,2021,0,0,0.10911136107986502
278,Hungary,2022,0,0,0.1732283464566929
279,Hungary,2023,0,0,0.23228346456692914
280,Czechia,2017,0,0,0.001687289088863892
281,Czechia,2018,0,0,0.003374578177727784
282,Czechia,2019,0,0,0.008998875140607425
283,Czechia,2020,0,0,0.01856017997750281
284,Czechia,2021,0,0,0.01799775028121485
285,Czechia,2022,0,0,0.05455568053993251
286,Czechia,2023,0,0,0.09167604049493813
287,Slovakia,2017,0,0,0.0022497187851518562
288,Slovakia,2018,0,0,0.024746906636670417
289,Slovakia,2019,0,0,0.01799775028121485
290,Slovakia,2020,0,0,0.016310461192350956
291,Slovakia,2021,0,0,0.01799775028121485
292,Slovakia,2022,0,0,0.05399325084364454
293,Slovakia,2023,0,0,0.08098987626546682
294,Italy,2017,0,0,0.0011248593925759281
295,Italy,2018,0,0,0.00562429696287964
296,Italy,2019,0,0,0.006186726659167604
297,Italy,2020,0,0,0.03824521934758155
298,Italy,2021,0,0,0.007311586051743532
299,Italy,2022,0,0,0.04443194600674916
300,Italy,2023,0,0,0.10911136107986502
301,Malta,2017,0,0,0.005061867266591676
302,Malta,2018,0,0,0.010123734533183352
303,Malta,2019,0,0,0.10123734533183353
304,Malta,2020,0,0,0.10011248593925759
305,Malta,2021,0,0,0.12598425196850394
306,Malta,2022,0,0,0.15691788526434194
307,Malta,2023,0,0,0.17097862767154107
308,Albania,2017,0,0,0.015748031496062992
309,Albania,2018,0,0,0.03543307086614173
310,Albania,2019,0,0,0.029808773903262094
311,Albania,2020,0,0,0.052868391451068614
312,Albania,2021,0,0,0.0421822272215973
313,Albania,2022,0,0,0.052868391451068614
314,Albania,2023,0,0,0.07311586051743532
315,Serbia,2017,0,0,0.013498312710911136
