,country,year,d_civil_conflict,preds_proba
280,Czechia,2017,0,0.0001922131773574461
281,Czechia,2018,0,0.0001922131773574461
282,Czechia,2019,0,0.0001922131773574461
283,Czechia,2020,0,0.0006678380920246761
284,Czechia,2021,0,0.0001922131773574461
285,Czechia,2022,0,0.03140816714930378
286,Czechia,2023,0,0.05216584401479395
287,Slovakia,2017,0,0.006727034056622227
288,Slovakia,2018,0,0.005948623238377987
289,Slovakia,2019,0,0.005626124214742522
290,Slovakia,2020,0,0.007146764691726975
291,Slovakia,2021,0,0.007888437785259527
292,Slovakia,2022,0,0.027083060949473475
293,Slovakia,2023,0,0.04482060758825546
294,Italy,2017,0,0.002686452603978987
295,Italy,2018,0,0.002686452603978987
296,Italy,2019,0,0.002686452603978987
297,Italy,2020,0,0.002686452603978987
298,Italy,2021,0,0.002686452603978987
299,Italy,2022,0,0.0022314827413446067
300,Italy,2023,0,0.0018935051291019247
301,Malta,2017,0,0.0009523703404609462
302,Malta,2018,0,0.0021523118027320033
303,Malta,2019,0,0.0016731070560230858
304,Malta,2020,0,0.001391190292910772
305,Malta,2021,0,0.014058396981939133
306,Malta,2022,0,0.038418475489051404
307,Malta,2023,0,0.038418475489051404
308,Albania,2017,0,0.004269613841468867
309,Albania,2018,0,0.014127283516820337
310,Albania,2019,0,0.004269613841468867
311,Albania,2020,0,0.004257423233686468
312,Albania,2021,0,0.004136716943599797
313,Albania,2022,0,0.02551392917735931
314,Albania,2023,0,0.03441911801689692
315,Serbia,2017,0,0.014810355809631762
316,Serbia,2018,0,0.012244389053007254
317,Serbia,2019,0,0.016141670852250815
318,Serbia,2020,0,0.017979248024687037
319,Serbia,2021,0,0.019574627034281214
320,Serbia,2022,0,0.07925938879533409
321,Serbia,2023,0,0.0777401870298757
322,Montenegro,2017,0,0.006067448572309209
323,Montenegro,2018,0,0.006817793166937879
324,Montenegro,2019,0,0.004722339247276486
325,Montenegro,2020,0,0.010368546682391072
326,Montenegro,2021,0,0.008254876996148778
327,Montenegro,2022,0,0.006751689144164855
328,Montenegro,2023,0,0.043634325102232106
329,North Macedonia,2017,0,0.010451290418519207
330,North Macedonia,2018,0,0.03150816923727068
331,North Macedonia,2019,0,0.02908375528557182
332,North Macedonia,2020,0,0.01594965928155796
333,North Macedonia,2021,0,0.0137969930336072
334,North Macedonia,2022,0,0.01949816045444758
335,North Macedonia,2023,0,0.044685805014065896
336,Croatia,2017,0,0.0029450237594977175
337,Croatia,2018,0,0.0044888937873699165
338,Croatia,2019,0,0.00472845238204193
339,Croatia,2020,0,0.005205291903426518
340,Croatia,2021,0,0.007530328617374777
341,Croatia,2022,0,0.02912296850737102
342,Croatia,2023,0,0.05683647698578942
343,Bosnia-Herzegovina,2017,0,0.013480126076331355
344,Bosnia-Herzegovina,2018,0,0.0171579002250706
345,Bosnia-Herzegovina,2019,0,0.015525696867038287
346,Bosnia-Herzegovina,2020,0,0.02132235947575127
347,Bosnia-Herzegovina,2021,0,0.019425812321526167
348,Bosnia-Herzegovina,2022,0,0.13679585472143738
349,Bosnia-Herzegovina,2023,0,0.08237341303722148
350,Slovenia,2017,0,0.006074994182949101
351,Slovenia,2018,0,0.006644817861308872
352,Slovenia,2019,0,0.0033759086374434743
353,Slovenia,2020,0,0.002883519873057489
354,Slovenia,2021,0,0.002883519873057489
355,Slovenia,2022,0,0.005474183643018438
356,Slovenia,2023,0,0.04445769266943908
357,Greece,2017,0,0.014876762928909321
358,Greece,2018,0,0.006199176347617216
359,Greece,2019,0,0.00723035392418676
360,Greece,2020,0,0.01649392805811349
361,Greece,2021,0,0.014274955857129503
362,Greece,2022,0,0.03183403088469529
363,Greece,2023,0,0.03794478310504593
364,Cyprus,2017,0,0.012408308273163093
365,Cyprus,2018,0,0.00042419879121643144
366,Cyprus,2019,0,0.00035105093443687385
367,Cyprus,2020,0,0.00035105093443687385
368,Cyprus,2021,0,0.000630744763046967
369,Cyprus,2022,0,0.02812747379009251
370,Cyprus,2023,0,0.027699042816238983
371,Bulgaria,2017,0,0.007313049315912269
372,Bulgaria,2018,0,0.009590106419347294
373,Bulgaria,2019,0,0.025178278929254203
374,Bulgaria,2020,0,0.024892875612249274
375,Bulgaria,2021,0,0.011361270049219063
376,Bulgaria,2022,0,0.058114362265178604
377,Bulgaria,2023,0,0.04920803613208748
378,Moldova,2017,0,0.02846778040871419
379,Moldova,2018,0,0.03170106493941358
380,Moldova,2019,0,0.03233132114028214
381,Moldova,2020,0,0.03709464894129191
382,Moldova,2021,0,0.02962765531298593
383,Moldova,2022,0,0.14376182692056988
384,Moldova,2023,0,0.147002017141022
385,Romania,2017,0,0.036032476980415076
386,Romania,2018,0,0.0344992613153881
387,Romania,2019,0,0.03308749681592712
388,Romania,2020,0,0.03316414202752132
389,Romania,2021,0,0.03129495396988296
390,Romania,2022,0,0.0720920252046383
391,Romania,2023,0,0.06349016272240265
392,Russia (Soviet Union),2017,1,0.7899975267447393
393,Russia (Soviet Union),2018,1,0.7554302501951637
394,Russia (Soviet Union),2019,1,0.7361701748399404
395,Russia (Soviet Union),2020,1,0.7574737761734691
396,Russia (Soviet Union),2021,0,0.7918993171769583
397,Russia (Soviet Union),2022,0,0.5023248448030995
398,Russia (Soviet Union),2023,1,0.5766982743652833
399,Estonia,2017,0,0.0029130828911856496
400,Estonia,2018,0,0.00539956693466472
401,Estonia,2019,0,0.007647630143369834
402,Estonia,2020,0,0.011348832016287594
403,Estonia,2021,0,0.0073209184515352415
404,Estonia,2022,0,0.0007375890044089271
405,Estonia,2023,0,0.05030907166237143
406,Latvia,2017,0,0.013166552892339473
407,Latvia,2018,0,0.006354409914403747
408,Latvia,2019,0,0.00559049384980907
409,Latvia,2020,0,0.01551575904760908
410,Latvia,2021,0,0.01446339152737092
411,Latvia,2022,0,0.02528702418205971
412,Latvia,2023,0,0.04539382397173788
413,Lithuania,2017,0,0.002445018217490782
414,Lithuania,2018,0,0.004176894702126913
415,Lithuania,2019,0,0.004552136512642506
416,Lithuania,2020,0,0.004265144411990279
417,Lithuania,2021,0,0.004265144411990279
418,Lithuania,2022,0,0.017407460584740807
419,Lithuania,2023,0,0.027876925282300576
420,Ukraine,2017,1,0.667736645501984
421,Ukraine,2018,1,0.6177291057332709
422,Ukraine,2019,1,0.5361915811795996
423,Ukraine,2020,1,0.5365035485102789
424,Ukraine,2021,1,0.5289798785236969
425,Ukraine,2022,1,0.5405508786272566
426,Ukraine,2023,0,0.5708924770302966
427,Belarus,2017,0,0.009201845375868718
428,Belarus,2018,0,0.005401580453561506
429,Belarus,2019,0,0.007688535769802132
430,Belarus,2020,0,0.15188927249326256
431,Belarus,2021,0,0.1599930323585329
432,Belarus,2022,0,0.17372939275543633
433,Belarus,2023,0,0.20191861999112098
434,Armenia,2017,0,0.060797012573751724
435,Armenia,2018,0,0.04488438908203169
436,Armenia,2019,0,0.03764376061329601
437,Armenia,2020,0,0.10140190300369353
438,Armenia,2021,0,0.11808991683638823
439,Armenia,2022,1,0.14326278193310943
440,Armenia,2023,0,0.3599019984534997
441,Georgia,2017,0,0.03416960249186146
442,Georgia,2018,0,0.04946671969535164
443,Georgia,2019,0,0.10811360339858833
444,Georgia,2020,0,0.04166666909643332
445,Georgia,2021,0,0.044679976716874056
446,Georgia,2022,0,0.05877153286391739
447,Georgia,2023,0,0.06314914062930053
448,Azerbaijan,2017,1,0.7220206334479792
449,Azerbaijan,2018,0,0.6964247261599736
450,Azerbaijan,2019,0,0.5036532591831604
451,Azerbaijan,2020,1,0.4960869772871604
452,Azerbaijan,2021,1,0.6290999767222645
453,Azerbaijan,2022,1,0.5141496323669515
454,Azerbaijan,2023,1,0.5455162319850568
455,Finland,2017,0,0.004478802062185062
456,Finland,2018,0,0.004478802062185062
457,Finland,2019,0,0.004574643011526846
458,Finland,2020,0,0.004574643011526846
459,Finland,2021,0,0.004574643011526846
460,Finland,2022,0,0.024057619007429244
461,Finland,2023,0,0.05315986859878967
462,Sweden,2017,0,9.90720570387083e-05
463,Sweden,2018,0,9.90720570387083e-05
464,Sweden,2019,0,0.0008019056855451206
465,Sweden,2020,0,9.90720570387083e-05
466,Sweden,2021,0,9.90720570387083e-05
467,Sweden,2022,0,0.02435635970893
468,Sweden,2023,0,0.04407169905963294
469,Norway,2017,0,0.004478802062185062
470,Norway,2018,0,0.004478802062185062
471,Norway,2019,0,0.004478802062185062
472,Norway,2020,0,0.004585292005898155
473,Norway,2021,0,0.004831345227347798
474,Norway,2022,0,0.031016958074470698
475,Norway,2023,0,0.047796019188395995
476,Denmark,2017,0,0.0
477,Denmark,2018,0,0.0
478,Denmark,2019,0,0.0
479,Denmark,2020,0,0.0
480,Denmark,2021,0,0.0
481,Denmark,2022,0,0.015979801368464497
482,Denmark,2023,0,0.015979801368464497
483,Iceland,2017,0,0.01680492383218026
484,Iceland,2018,0,0.013813780288583065
485,Iceland,2019,0,0.015385676183770444
486,Iceland,2020,0,0.019895801040174656
487,Iceland,2021,0,0.0036347979874620075
488,Iceland,2022,0,0.03259818882867811
489,Iceland,2023,0,0.04243566032479286
490,Cabo Verde,2017,0,0.003142099419236312
491,Cabo Verde,2018,0,0.005313598034079055
492,Cabo Verde,2019,0,0.0072826656228478755
493,Cabo Verde,2020,0,0.007087678538861713
494,Cabo Verde,2021,0,0.014523378639969463
495,Cabo Verde,2022,0,0.032809201748023396
496,Cabo Verde,2023,0,0.05224709765220888
497,Guinea-Bissau,2017,0,0.03514445769200551
498,Guinea-Bissau,2018,0,0.0538729639274641
499,Guinea-Bissau,2019,0,0.03705239402796892
500,Guinea-Bissau,2020,0,0.012996677840090988
501,Guinea-Bissau,2021,0,0.018864073625983833
502,Guinea-Bissau,2022,0,0.05448456201550522
503,Guinea-Bissau,2023,0,0.10518704551796543
504,Equatorial Guinea,2017,0,0.04871726957139792
505,Equatorial Guinea,2018,0,0.04421041197930969
506,Equatorial Guinea,2019,0,0.050121427869576234
507,Equatorial Guinea,2020,0,0.04007600366467526
508,Equatorial Guinea,2021,0,0.04959995824183566
509,Equatorial Guinea,2022,0,0.08099392335905808
510,Equatorial Guinea,2023,0,0.13478775103342078
511,Gambia,2017,0,0.04459246210482407
512,Gambia,2018,0,0.04033178722522677
513,Gambia,2019,0,0.04476088681243419
514,Gambia,2020,0,0.04799899673076531
515,Gambia,2021,0,0.04296795945016943
516,Gambia,2022,0,0.07329563083251066
517,Gambia,2023,0,0.0822214002683382
518,Mali,2017,1,0.7927384405729044
519,Mali,2018,1,0.823198507438317
520,Mali,2019,1,0.8373655693897245
521,Mali,2020,1,0.8241328940737571
522,Mali,2021,1,0.7750814715416745
523,Mali,2022,1,0.7664948923673041
524,Mali,2023,1,0.7555615335159236
525,Senegal,2017,0,0.030501061726186298
526,Senegal,2018,0,0.024293636214572874
527,Senegal,2019,0,0.031482042662763
528,Senegal,2020,0,0.039520605505517226
529,Senegal,2021,0,0.05751560091924071
530,Senegal,2022,0,0.10877195889679724
531,Senegal,2023,0,0.11331065167845367
532,Benin,2017,0,0.056100267026278475
533,Benin,2018,0,0.055683266778809165
534,Benin,2019,0,0.043707061009815126
535,Benin,2020,0,0.045525276861905745
536,Benin,2021,0,0.07751405096316948
537,Benin,2022,1,0.08829632863109646
538,Benin,2023,1,0.29580608086561494
539,Mauritania,2017,0,0.07927586491383637
540,Mauritania,2018,0,0.07293621045460069
541,Mauritania,2019,0,0.0732208233800467
542,Mauritania,2020,0,0.08911045404215096
543,Mauritania,2021,0,0.07869712847071732
544,Mauritania,2022,0,0.10576118611059296
545,Mauritania,2023,0,0.12597546798802517
546,Niger,2017,1,0.6073964759358275
547,Niger,2018,1,0.7108228791453839
548,Niger,2019,1,0.6782904978735507
549,Niger,2020,1,0.7063390939974508
550,Niger,2021,1,0.6213892453141854
551,Niger,2022,1,0.5885350281404585
552,Niger,2023,1,0.6754576264472824
553,Ivory Coast,2017,0,0.1306096677300503
554,Ivory Coast,2018,0,0.09048574499925097
555,Ivory Coast,2019,0,0.1565240724802628
556,Ivory Coast,2020,0,0.27817749733312175
557,Ivory Coast,2021,0,0.0923294005374541
558,Ivory Coast,2022,0,0.11627761484455196
559,Ivory Coast,2023,0,0.14666567212504392
560,Guinea,2017,0,0.022232544705078877
561,Guinea,2018,0,0.016935386657419053
562,Guinea,2019,0,0.024178277458154332
563,Guinea,2020,0,0.06020359019015783
564,Guinea,2021,0,0.09894144569225324
565,Guinea,2022,0,0.09576729619918163
566,Guinea,2023,0,0.0983148071740812
567,Burkina Faso,2017,0,0.1407268845497492
568,Burkina Faso,2018,1,0.236431885855322
569,Burkina Faso,2019,1,0.4643165278365
570,Burkina Faso,2020,1,0.49064685471452535
571,Burkina Faso,2021,1,0.5183338108369908
572,Burkina Faso,2022,1,0.5354029760685766
573,Burkina Faso,2023,1,0.5286806417034312
574,Liberia,2017,0,0.07253668092763049
575,Liberia,2018,0,0.0766556492454015
576,Liberia,2019,0,0.11630321323486932
577,Liberia,2020,0,0.11530862447228335
578,Liberia,2021,0,0.09084091187632432
579,Liberia,2022,0,0.14370641394648903
580,Liberia,2023,0,0.20101431587170634
581,Sierra Leone,2017,0,0.030611687546175513
582,Sierra Leone,2018,0,0.02727199152606568
583,Sierra Leone,2019,0,0.04431244471034767
584,Sierra Leone,2020,0,0.05168651877804322
585,Sierra Leone,2021,0,0.05022278610902703
