,country,year,d_protest,preds,preds_proba
303,France,2021,1,1,0.8745259081392059
304,France,2022,1,1,0.8745259081392059
305,France,2023,1,1,0.8745259081392059
306,Gabon,2017,0,0,0.1629342100760684
307,Gabon,2018,0,0,0.22638397568289598
308,Gabon,2019,1,0,0.22251815766403185
309,Gabon,2020,0,1,1.0
310,Gabon,2021,1,0,0.3530342395107392
311,Gabon,2022,1,1,1.0
312,Gabon,2023,1,1,1.0
313,Gambia,2017,0,0,0.06542784700679444
314,Gambia,2018,0,0,0.16407055781909158
315,Gambia,2019,0,0,0.09866668599296873
316,Gambia,2020,0,0,0.007070601925728226
317,Gambia,2021,0,0,0.007138719378689661
318,Gambia,2022,0,0,0.0912801514074521
319,Gambia,2023,0,0,0.22638397568289598
320,Georgia,2018,1,0,0.07834152052533311
321,Georgia,2019,1,1,0.9751926040143852
322,Georgia,2020,1,1,0.9739189890706365
323,Georgia,2021,1,1,0.9709472208685562
324,Georgia,2022,1,1,0.9682491449251345
325,Georgia,2023,1,1,0.9680368757678429
326,Germany,2020,1,1,0.9012077414134422
327,Germany,2021,1,1,0.9975235264982665
328,Germany,2022,1,1,0.9975235264982665
329,Germany,2023,1,1,0.9975235264982665
330,Ghana,2017,1,1,1.0
331,Ghana,2018,1,1,1.0
332,Ghana,2019,1,1,1.0
333,Ghana,2020,1,1,1.0
334,Ghana,2021,1,1,1.0
335,Ghana,2022,1,1,1.0
336,Ghana,2023,1,1,1.0
337,Greece,2018,1,1,0.6717782867558149
338,Greece,2019,1,1,0.8700753314746622
339,Greece,2020,1,1,0.8700753314746622
340,Greece,2021,1,1,0.8700753314746622
341,Greece,2022,1,1,0.8700753314746622
342,Greece,2023,1,1,0.8700753314746622
343,Guatemala,2018,1,1,0.6824644574189151
344,Guatemala,2019,1,1,0.7664819873909766
345,Guatemala,2020,1,1,0.7664819873909766
346,Guatemala,2021,1,1,0.7664819873909766
347,Guatemala,2022,1,1,0.7674725767916701
348,Guatemala,2023,1,1,0.8700753314746622
349,Guinea,2017,0,0,0.1255115204031039
350,Guinea,2018,1,0,0.20707840244743528
351,Guinea,2019,1,1,1.0
352,Guinea,2020,1,1,1.0
353,Guinea,2021,1,1,1.0
354,Guinea,2022,1,1,1.0
355,Guinea,2023,1,1,1.0
356,Guinea-Bissau,2017,0,0,0.1199235508201072
357,Guinea-Bissau,2018,0,0,0.2133845227357597
358,Guinea-Bissau,2019,0,0,0.1920737540678981
359,Guinea-Bissau,2020,0,0,0.09684781113961269
360,Guinea-Bissau,2021,0,0,0.09010303288666205
361,Guinea-Bissau,2022,0,0,0.08861714878562192
362,Guinea-Bissau,2023,0,0,0.059340824395233985
363,Guyana,2018,1,0,0.07702048501102236
364,Guyana,2019,1,1,0.8205315619462684
365,Guyana,2020,1,1,0.8794162350046891
366,Guyana,2021,1,1,0.9923761225275515
367,Guyana,2022,1,1,0.8121441415503312
368,Guyana,2023,1,1,0.9896415704678002
369,Haiti,2018,1,1,0.6880198538623459
370,Haiti,2019,1,1,0.6388558692421992
371,Haiti,2020,1,0,0.15190815823374626
372,Haiti,2021,1,1,0.6606488360574542
373,Haiti,2022,1,1,0.6680782565626547
374,Haiti,2023,1,1,0.8790737989103515
375,Honduras,2018,1,1,0.6824644574189151
376,Honduras,2019,1,1,0.7664819873909766
377,Honduras,2020,1,1,0.7664819873909766
378,Honduras,2021,1,1,0.7664819873909766
379,Honduras,2022,1,1,0.7674725767916701
380,Honduras,2023,1,1,0.8700753314746622
381,Hungary,2020,1,1,0.5603752202272532
382,Hungary,2021,1,1,0.999575461685417
383,Hungary,2022,1,1,0.999575461685417
384,Hungary,2023,1,1,0.999575461685417
385,Iceland,2020,1,1,0.7679351876671425
386,Iceland,2021,1,0,0.3331698097405685
387,Iceland,2022,1,0,0.20128971608484347
388,Iceland,2023,1,0,0.18324573266195965
389,India,2017,1,1,0.9992570579494799
390,India,2018,1,1,0.9975235264982665
391,India,2019,1,1,0.9975235264982665
392,India,2020,1,1,0.9975235264982665
393,India,2021,1,1,0.9975235264982665
394,India,2022,1,1,0.968697374938088
395,India,2023,1,1,0.9199108469539377
396,Indonesia,2017,1,1,0.9875677707292078
397,Indonesia,2018,1,1,0.9875677707292078
398,Indonesia,2019,1,1,0.9975235264982665
399,Indonesia,2020,1,1,0.968697374938088
400,Indonesia,2021,1,1,0.9199108469539377
401,Indonesia,2022,1,1,0.7367508667657255
402,Indonesia,2023,1,1,0.6697622585438335
403,Iran,2017,1,1,0.8745259081392059
404,Iran,2018,1,1,0.8745259081392059
405,Iran,2019,1,1,0.8745259081392059
406,Iran,2020,1,1,0.8745259081392059
407,Iran,2021,1,1,0.8745259081392059
408,Iran,2022,1,1,0.8745259081392059
409,Iran,2023,1,1,0.8745259081392059
410,Iraq,2017,1,1,0.6388558692421992
411,Iraq,2018,1,1,0.6403417533432393
412,Iraq,2019,1,1,0.6606488360574542
413,Iraq,2020,1,1,0.6680782565626547
414,Iraq,2021,1,1,0.8790737989103515
415,Iraq,2022,1,1,0.9790454963560458
416,Iraq,2023,1,1,0.9937309842213258
417,Ireland,2020,1,1,0.7292778013795801
418,Ireland,2021,1,1,0.999575461685417
419,Ireland,2022,1,1,0.999575461685417
420,Ireland,2023,1,1,0.999575461685417
421,Israel,2017,1,1,0.9992570579494799
422,Israel,2018,1,1,0.9992570579494799
423,Israel,2019,1,1,0.9975235264982665
424,Israel,2020,1,1,0.9975235264982665
425,Israel,2021,1,1,0.9975235264982665
426,Israel,2022,1,1,0.9975235264982665
427,Israel,2023,1,1,0.968697374938088
428,Italy,2020,1,1,0.7866339959866706
429,Italy,2021,1,1,0.8745259081392059
430,Italy,2022,1,1,0.8745259081392059
431,Italy,2023,1,1,0.8745259081392059
432,Ivory Coast,2017,0,0,0.13712775281803363
433,Ivory Coast,2018,0,0,0.13987103418971272
434,Ivory Coast,2019,1,0,0.16966727876044113
435,Ivory Coast,2020,1,1,1.0
436,Ivory Coast,2021,1,1,1.0
437,Ivory Coast,2022,1,1,1.0
438,Ivory Coast,2023,0,1,1.0
439,Jamaica,2018,0,0,0.05366482411430405
440,Jamaica,2019,0,0,0.1629342100760684
441,Jamaica,2020,0,0,0.2970485669312946
442,Jamaica,2021,1,0,0.29563558334892026
443,Jamaica,2022,1,1,0.9935466853262501
444,Jamaica,2023,1,1,0.9935466853262501
445,Japan,2018,1,1,0.7866339959866706
446,Japan,2019,1,1,0.9803446755591972
447,Japan,2020,1,1,0.9803446755591972
448,Japan,2021,1,1,0.9803446755591972
449,Japan,2022,1,1,0.9803446755591972
450,Japan,2023,1,1,0.9803446755591972
451,Jordan,2017,1,1,0.9975235264982665
452,Jordan,2018,1,1,0.9975235264982665
453,Jordan,2019,1,1,0.9975235264982665
454,Jordan,2020,1,1,0.9975235264982665
455,Jordan,2021,1,1,0.968697374938088
456,Jordan,2022,1,1,0.9199108469539377
457,Jordan,2023,1,1,0.7367508667657255
458,Kazakhstan,2018,1,0,0.09954755982201144
459,Kazakhstan,2019,1,1,0.9751926040143852
460,Kazakhstan,2020,1,1,0.9739189890706365
461,Kazakhstan,2021,1,1,0.9709472208685562
462,Kazakhstan,2022,1,1,0.9682491449251345
463,Kazakhstan,2023,1,1,0.9680368757678429
464,Kenya,2017,1,1,0.8794162350046891
465,Kenya,2018,1,1,0.9923761225275515
466,Kenya,2019,1,1,0.8121441415503312
467,Kenya,2020,1,1,0.9896415704678002
468,Kenya,2021,1,1,1.0
469,Kenya,2022,1,1,1.0
470,Kenya,2023,1,1,1.0
471,Kuwait,2017,0,0,0.007138719378689661
472,Kuwait,2018,0,0,0.0912801514074521
473,Kuwait,2019,0,0,0.22638397568289598
474,Kuwait,2020,0,0,0.22251815766403185
475,Kuwait,2021,0,0,0.38412320568635144
476,Kuwait,2022,0,1,0.5085174115279945
477,Kuwait,2023,0,1,0.6060315696935378
478,Kyrgyzstan,2018,1,0,0.09954755982201144
479,Kyrgyzstan,2019,1,1,0.9751926040143852
480,Kyrgyzstan,2020,1,1,0.9739189890706365
481,Kyrgyzstan,2021,1,1,0.9709472208685562
482,Kyrgyzstan,2022,1,1,0.9682491449251345
483,Kyrgyzstan,2023,1,1,0.9680368757678429
484,Laos,2017,0,1,0.6526442638053581
485,Laos,2018,0,1,0.6526442638053581
486,Laos,2019,0,1,0.6579044114503498
487,Laos,2020,0,1,0.7003013300053839
488,Laos,2021,0,1,0.7021158230903078
489,Laos,2022,0,1,0.7021158230903078
490,Laos,2023,0,1,0.7037502956014519
491,Latvia,2020,1,0,0.10006744583486142
492,Latvia,2021,1,1,0.9709472208685562
493,Latvia,2022,1,1,0.9682491449251345
494,Latvia,2023,1,1,0.9680368757678429
495,Lebanon,2017,1,1,0.9975235264982665
496,Lebanon,2018,1,1,0.9975235264982665
497,Lebanon,2019,1,1,0.968697374938088
498,Lebanon,2020,1,1,0.9199108469539377
499,Lebanon,2021,1,1,0.7367508667657255
500,Lebanon,2022,1,1,0.6697622585438335
501,Lebanon,2023,1,1,0.6584695393759287
502,Lesotho,2017,0,0,0.04855404843386659
503,Lesotho,2018,0,0,0.06542784700679444
504,Lesotho,2019,0,0,0.16407055781909158
505,Lesotho,2020,0,0,0.09866668599296873
506,Lesotho,2021,0,0,0.007070601925728226
507,Lesotho,2022,0,0,0.007138719378689661
508,Lesotho,2023,0,0,0.0912801514074521
509,Liberia,2017,0,1,0.5919805408058466
510,Liberia,2018,0,1,0.5958667775672692
511,Liberia,2019,1,1,0.5355567380302979
512,Liberia,2020,1,1,0.7628911008134631
513,Liberia,2021,0,1,0.7628911008134631
514,Liberia,2022,0,1,0.5841450258896285
515,Liberia,2023,1,1,0.58364475432695
516,Libya,2017,1,1,1.0
517,Libya,2018,1,1,1.0
518,Libya,2019,1,1,0.9992570579494799
519,Libya,2020,1,1,0.9992570579494799
520,Libya,2021,1,1,0.9992570579494799
521,Libya,2022,1,1,0.9975235264982665
522,Libya,2023,1,1,0.9975235264982665
523,Lithuania,2020,1,0,0.10006744583486142
524,Lithuania,2021,1,1,0.9709472208685562
525,Lithuania,2022,1,1,0.9682491449251345
526,Lithuania,2023,1,1,0.9680368757678429
527,Luxembourg,2020,1,1,0.5010603450166379
528,Luxembourg,2021,1,1,0.5750794448409564
529,Luxembourg,2022,1,1,0.5309328652068752
530,Luxembourg,2023,1,1,0.5309328652068752
531,Madagascar,2017,0,1,0.9823605378102361
532,Madagascar,2018,0,0,0.28196918367879564
533,Madagascar,2019,1,0,0.28018559970069207
