,country,year,d_civil_conflict,preds,preds_proba
248,Portugal,2020,0,0,0.001114413075780089
249,Portugal,2021,0,0,0.0
250,Portugal,2022,0,0,0.0002971768202080238
251,Portugal,2023,0,0,0.0002971768202080238
252,Germany,2017,0,0,0.00043338286280336793
253,Germany,2018,0,0,0.00043338286280336793
254,Germany,2019,0,0,0.00043338286280336793
255,Germany,2020,0,0,0.0011763249133234274
256,Germany,2021,0,0,0.0009905894006934125
257,Germany,2022,0,0,0.005748956343309983
258,Germany,2023,0,0,0.015985141653789496
259,Poland,2017,0,0,0.020356612184249626
260,Poland,2018,0,0,0.018658481604246827
261,Poland,2019,0,0,0.019153776304593535
262,Poland,2020,0,0,0.031259014635686255
263,Poland,2021,0,0,0.015439066051993239
264,Poland,2022,0,0,0.01631821414510864
265,Poland,2023,0,0,0.010079247152055474
266,Austria,2017,0,0,0.0
267,Austria,2018,0,0,0.0
268,Austria,2019,0,0,0.0
269,Austria,2020,0,0,0.0021669143140168397
270,Austria,2021,0,0,0.0016716196136701336
271,Austria,2022,0,0,0.0
272,Austria,2023,0,0,0.0
273,Hungary,2017,0,0,0.0002971768202080238
274,Hungary,2018,0,0,0.0010401188707280832
275,Hungary,2019,0,0,0.0002971768202080238
276,Hungary,2020,0,0,0.0010401188707280832
277,Hungary,2021,0,0,0.0002971768202080238
278,Hungary,2022,0,0,0.0009905894006934125
279,Hungary,2023,0,0,0.0009905894006934125
280,Czechia,2017,0,0,0.0
281,Czechia,2018,0,0,0.0
282,Czechia,2019,0,0,0.0
283,Czechia,2020,0,0,0.0011429877700308607
284,Czechia,2021,0,0,0.0
285,Czechia,2022,0,0,0.0
286,Czechia,2023,0,0,0.0011429877700308607
287,Slovakia,2017,0,0,0.012480836812188967
288,Slovakia,2018,0,0,0.012480836812188967
289,Slovakia,2019,0,0,0.01390480907568575
290,Slovakia,2020,0,0,0.012976131512535672
291,Slovakia,2021,0,0,0.01623682162315149
292,Slovakia,2022,0,0,0.027877694371007896
293,Slovakia,2023,0,0,0.028125341721181252
294,Italy,2017,0,0,0.011810714875350833
295,Italy,2018,0,0,0.011810714875350833
296,Italy,2019,0,0,0.011810714875350833
297,Italy,2020,0,0,0.011810714875350833
298,Italy,2021,0,0,0.011810714875350833
299,Italy,2022,0,0,0.009810486277796827
300,Italy,2023,0,0,0.008324602176756709
301,Malta,2017,0,0,0.001300148588410104
302,Malta,2018,0,0,0.005943536404160475
303,Malta,2019,0,0,0.005943536404160475
304,Malta,2020,0,0,0.006108634637609377
305,Malta,2021,0,0,0.00709922403830279
306,Malta,2022,0,0,0.00709922403830279
307,Malta,2023,0,0,0.00709922403830279
308,Albania,2017,0,0,0.0007429420505200594
309,Albania,2018,0,0,0.0007429420505200594
310,Albania,2019,0,0,0.0007429420505200594
311,Albania,2020,0,0,0.0007429420505200594
312,Albania,2021,0,0,0.00021226915729144553
