,country,year,d_osv,preds,preds_proba
215,Belgium,2022,0,0,0.11596607669616518
216,Belgium,2023,1,0,0.12809734513274335
217,Luxembourg,2017,0,0,0.0055309734513274336
218,Luxembourg,2018,0,0,0.012536873156342183
219,Luxembourg,2019,0,0,0.005162241887905604
220,Luxembourg,2020,0,0,0.009033923303834807
221,Luxembourg,2021,0,0,0.0861725663716814
222,Luxembourg,2022,0,0,0.1710914454277286
223,Luxembourg,2023,0,0,0.16736725663716812
224,France,2017,0,0,0.2653785005554918
225,France,2018,1,0,0.22428336781212893
226,France,2019,0,0,0.2472553442133089
227,France,2020,0,0,0.2131760078662734
228,France,2021,0,0,0.37427722228607174
229,France,2022,0,0,0.16109355246523388
230,France,2023,1,0,0.3626422250316054
231,Switzerland,2017,0,0,0.005088495575221239
232,Switzerland,2018,0,0,0.006194690265486726
233,Switzerland,2019,0,0,0.008683628318584071
234,Switzerland,2020,0,0,0.00612094395280236
235,Switzerland,2021,0,0,0.013329646017699114
236,Switzerland,2022,0,0,0.009070796460176991
237,Switzerland,2023,0,0,0.0144358407079646
238,Spain,2017,1,0,0.05693718155001341
239,Spain,2018,0,0,0.0644961786001609
240,Spain,2019,0,0,0.09322036739072136
241,Spain,2020,0,0,0.05353982300884955
242,Spain,2021,0,0,0.11844160632877446
243,Spain,2022,0,0,0.17611936367467343
244,Spain,2023,0,0,0.32894016013485033
245,Portugal,2017,0,0,0.0
246,Portugal,2018,0,0,0.0
247,Portugal,2019,0,0,0.006084070796460177
248,Portugal,2020,0,0,0.01364306784660767
249,Portugal,2021,0,0,0.015117994100294987
250,Portugal,2022,0,0,0.09258849557522122
251,Portugal,2023,0,0,0.16301622418879053
252,Germany,2017,0,0,0.19064475347661186
253,Germany,2018,0,0,0.1216919511167299
254,Germany,2019,0,0,0.15745891276864732
255,Germany,2020,0,0,0.2926964812473661
256,Germany,2021,0,0,0.1979535398230088
257,Germany,2022,0,0,0.24695796460176994
258,Germany,2023,0,0,0.24323377581120947
259,Poland,2017,0,0,0.00331858407079646
260,Poland,2018,0,0,0.027249262536873157
261,Poland,2019,0,0,0.023561946902654868
262,Poland,2020,0,0,0.09918879056047196
263,Poland,2021,0,0,0.11795722713864304
264,Poland,2022,0,0,0.13270648967551618
265,Poland,2023,0,0,0.14376843657817107
266,Austria,2017,0,0,0.0
267,Austria,2018,0,0,0.0
268,Austria,2019,0,0,0.07629056047197641
269,Austria,2020,1,0,0.062131268436578166
270,Austria,2021,0,0,0.07946165191740415
271,Austria,2022,0,0,0.08628318584070797
272,Austria,2023,0,0,0.1017330383480826
273,Hungary,2017,0,0,0.0
274,Hungary,2018,0,0,0.03174778761061947
275,Hungary,2019,0,0,0.05357669616519174
276,Hungary,2020,0,0,0.10199115044247786
277,Hungary,2021,0,0,0.08204277286135694
278,Hungary,2022,0,0,0.10357669616519175
279,Hungary,2023,0,0,0.11611356932153392
280,Czechia,2017,0,0,0.0
281,Czechia,2018,0,0,0.0
282,Czechia,2019,0,0,0.0
283,Czechia,2020,0,0,0.040376106194690266
284,Czechia,2021,0,0,0.10272861356932154
285,Czechia,2022,0,0,0.0806047197640118
286,Czechia,2023,0,0,0.10763274336283185
