,country,year,d_terror,preds,preds_proba
182,Serbia,2019,0,0,0.10014245414873119
183,Serbia,2020,0,0,0.18647574339741793
184,Montenegro,2017,0,0,0.0559977482878154
185,Montenegro,2018,1,0,0.06576418637283757
186,Montenegro,2019,0,0,0.061040910631862705
187,Montenegro,2020,0,0,0.05953964640935955
188,North Macedonia,2017,0,0,0.1788989529844155
189,North Macedonia,2018,0,0,0.19624086668711296
190,North Macedonia,2019,0,0,0.1870131801661674
191,North Macedonia,2020,0,0,0.18456182611729965
192,Croatia,2017,0,0,0.05599057214908615
193,Croatia,2018,0,0,0.07466703302264492
194,Croatia,2019,0,0,0.07426669589664407
195,Croatia,2020,1,0,0.05384940465173009
196,Bosnia-Herzegovina,2017,0,0,0.28008845552814055
197,Bosnia-Herzegovina,2018,0,0,0.33651149431045313
198,Bosnia-Herzegovina,2019,0,0,0.34809730311647097
199,Bosnia-Herzegovina,2020,0,0,0.3626591093101708
200,Slovenia,2017,0,0,0.06669780808091771
201,Slovenia,2018,0,0,0.09383006835346955
202,Slovenia,2019,0,0,0.09789325395967906
203,Slovenia,2020,0,0,0.09444587028048773
204,Greece,2017,0,0,0.331406687247988
205,Greece,2018,0,0,0.30466096228733347
206,Greece,2019,0,0,0.29783150095388383
207,Greece,2020,0,0,0.27726582943364664
208,Cyprus,2017,0,0,0.030897716681522594
209,Cyprus,2018,0,0,0.04506444195417053
210,Cyprus,2019,0,0,0.025646124326858928
211,Cyprus,2020,0,0,0.049730540077399084
212,Bulgaria,2017,0,0,0.1489323885747405
213,Bulgaria,2018,0,0,0.16196188141011728
214,Bulgaria,2019,0,0,0.17135219811649685
215,Bulgaria,2020,0,0,0.16164041021497058
216,Moldova,2017,0,0,0.0865452242500445
217,Moldova,2018,0,0,0.09346547623729776
218,Moldova,2019,0,0,0.10010884393325215
219,Moldova,2020,0,0,0.08993140510537083
220,Romania,2017,0,0,0.02062575854198499
221,Romania,2018,0,0,0.020490834504819193
222,Romania,2019,0,0,0.03360176856208945
223,Romania,2020,0,0,0.04383526926062485
224,Russia (Soviet Union),2017,1,1,0.9949253462699943
225,Russia (Soviet Union),2018,1,1,0.9955287251919572
226,Russia (Soviet Union),2019,1,1,0.9955287251919572
227,Russia (Soviet Union),2020,1,1,0.9898664280929085
228,Estonia,2017,0,0,0.11426320720878919
229,Estonia,2018,0,0,0.10670680482283769
230,Estonia,2019,0,0,0.07855572438015697
231,Estonia,2020,0,0,0.08048188432331739
232,Latvia,2017,0,0,0.02934931856788319
233,Latvia,2018,0,0,0.032542785593414426
234,Latvia,2019,0,0,0.032188552834108604
