,country,year,d_ns,preds,preds_proba
276,Hungary,2020,0,0,0.0005303442395120006
277,Hungary,2021,0,0,0.0005303442395120006
278,Hungary,2022,0,0,0.0005303442395120006
279,Hungary,2023,0,0,0.009536091787761266
280,Czechia,2017,0,0,0.00031483148456403447
281,Czechia,2018,0,0,0.00031483148456403447
282,Czechia,2019,0,0,0.00031483148456403447
283,Czechia,2020,0,0,0.00031483148456403447
284,Czechia,2021,0,0,0.00031483148456403447
285,Czechia,2022,0,0,0.00031483148456403447
286,Czechia,2023,0,0,0.00031483148456403447
287,Slovakia,2017,0,0,0.00031483148456403447
288,Slovakia,2018,0,0,0.00031483148456403447
289,Slovakia,2019,0,0,0.00031483148456403447
290,Slovakia,2020,0,0,0.00031483148456403447
291,Slovakia,2021,0,0,0.00031483148456403447
292,Slovakia,2022,0,0,0.00031483148456403447
293,Slovakia,2023,0,0,0.00031483148456403447
294,Italy,2017,0,0,0.0036955452004251797
295,Italy,2018,0,0,0.0036955452004251797
296,Italy,2019,0,0,0.0036955452004251797
297,Italy,2020,0,0,0.0036955452004251797
298,Italy,2021,0,0,0.0036955452004251797
299,Italy,2022,0,0,0.0036955452004251797
300,Italy,2023,0,0,0.0036955452004251797
301,Malta,2017,0,0,0.0003312752751514278
302,Malta,2018,0,0,0.00045611582922723277
303,Malta,2019,0,0,0.00042678574070781176
304,Malta,2020,0,0,0.00042678574070781176
305,Malta,2021,0,0,0.0007345295636339128
306,Malta,2022,0,0,0.0005253729478216444
307,Malta,2023,0,0,0.0005253729478216444
308,Albania,2017,0,0,0.0005303442395120006
309,Albania,2018,0,0,0.009536091787761266
310,Albania,2019,0,0,0.05417704661854354
311,Albania,2020,0,0,0.0023738930395603795
312,Albania,2021,0,0,0.0005540935067563619
313,Albania,2022,0,0,0.00018680757893231744
314,Albania,2023,0,0,0.00018680757893231744
315,Serbia,2017,0,0,6.75967805442565e-05
316,Serbia,2018,0,0,6.75967805442565e-05
317,Serbia,2019,0,0,0.00031723396514405673
318,Serbia,2020,0,0,6.642824186126515e-05
319,Serbia,2021,0,0,4.1873775192821986e-05
320,Serbia,2022,0,0,4.1873775192821986e-05
321,Serbia,2023,0,0,4.1873775192821986e-05
322,Montenegro,2017,0,0,6.75967805442565e-05
323,Montenegro,2018,0,0,6.75967805442565e-05
324,Montenegro,2019,0,0,0.00031723396514405673
325,Montenegro,2020,0,0,6.642824186126515e-05
326,Montenegro,2021,0,0,4.1873775192821986e-05
327,Montenegro,2022,0,0,4.1873775192821986e-05
328,Montenegro,2023,0,0,4.1873775192821986e-05
329,North Macedonia,2017,0,0,0.00031483148456403447
330,North Macedonia,2018,0,0,0.00031483148456403447
331,North Macedonia,2019,0,0,0.00031483148456403447
332,North Macedonia,2020,0,0,0.00031483148456403447
333,North Macedonia,2021,0,0,0.00031483148456403447
334,North Macedonia,2022,0,0,0.00031483148456403447
335,North Macedonia,2023,0,0,0.00031483148456403447
336,Croatia,2017,0,0,0.00031483148456403447
337,Croatia,2018,0,0,0.00031483148456403447
338,Croatia,2019,0,0,0.00031483148456403447
339,Croatia,2020,0,0,0.00031483148456403447
340,Croatia,2021,0,0,0.00031483148456403447
341,Croatia,2022,0,0,0.00031483148456403447
342,Croatia,2023,0,0,0.00031483148456403447
343,Bosnia-Herzegovina,2017,0,0,0.00031483148456403447
344,Bosnia-Herzegovina,2018,0,0,0.00031483148456403447
345,Bosnia-Herzegovina,2019,0,0,0.00031483148456403447
346,Bosnia-Herzegovina,2020,0,0,0.00031483148456403447
347,Bosnia-Herzegovina,2021,0,0,0.00031483148456403447
348,Bosnia-Herzegovina,2022,0,0,0.00031483148456403447
349,Bosnia-Herzegovina,2023,0,0,0.00031483148456403447
350,Slovenia,2017,0,0,0.00031483148456403447
351,Slovenia,2018,0,0,0.00031483148456403447
352,Slovenia,2019,0,0,0.00031483148456403447
353,Slovenia,2020,0,0,0.00031483148456403447
354,Slovenia,2021,0,0,0.00031483148456403447
355,Slovenia,2022,0,0,0.00031483148456403447
356,Slovenia,2023,0,0,0.00031483148456403447
357,Greece,2017,0,0,0.0
358,Greece,2018,0,0,0.0
359,Greece,2019,0,0,0.1546869758085398
360,Greece,2020,0,0,0.1402643606390757
361,Greece,2021,0,0,0.0
362,Greece,2022,0,0,0.21493520847424752
363,Greece,2023,0,0,0.15884110995995673
364,Cyprus,2017,0,0,0.0007345295636339128
365,Cyprus,2018,0,0,0.0005253729478216444
366,Cyprus,2019,0,0,0.0005253729478216444
367,Cyprus,2020,0,0,0.0005253729478216444
368,Cyprus,2021,0,0,0.0005253729478216444
369,Cyprus,2022,0,0,0.0005253729478216444
370,Cyprus,2023,0,0,0.0013332596301477888
371,Bulgaria,2017,0,0,0.00018680757893231744
372,Bulgaria,2018,0,0,0.00018680757893231744
373,Bulgaria,2019,0,0,0.13397895483349392
374,Bulgaria,2020,0,0,0.13397895483349392
375,Bulgaria,2021,0,0,0.00018680757893231744
376,Bulgaria,2022,0,0,0.13415560927023804
377,Bulgaria,2023,0,0,0.13415560927023804
378,Moldova,2017,0,0,0.00031483148456403447
379,Moldova,2018,0,0,0.00031483148456403447
380,Moldova,2019,0,0,0.00031483148456403447
381,Moldova,2020,0,0,0.00031483148456403447
382,Moldova,2021,0,0,0.00031483148456403447
383,Moldova,2022,0,0,0.00031483148456403447
384,Moldova,2023,0,0,0.00031483148456403447
385,Romania,2017,0,0,0.00018680757893231744
386,Romania,2018,0,0,0.00018680757893231744
387,Romania,2019,0,0,0.00018680757893231744
388,Romania,2020,0,0,0.00018680757893231744
389,Romania,2021,0,0,0.00018680757893231744
390,Romania,2022,0,0,0.00018680757893231744
391,Romania,2023,0,0,0.00018680757893231744
392,Russia (Soviet Union),2017,0,0,0.0037314196398870623
393,Russia (Soviet Union),2018,0,0,0.0036955452004251797
394,Russia (Soviet Union),2019,0,0,0.0036955452004251797
395,Russia (Soviet Union),2020,0,0,0.0036955452004251797
396,Russia (Soviet Union),2021,0,0,0.0036955452004251797
397,Russia (Soviet Union),2022,0,0,0.0036955452004251797
398,Russia (Soviet Union),2023,0,0,0.0036955452004251797
399,Estonia,2017,0,0,0.00031483148456403447
400,Estonia,2018,0,0,0.00031483148456403447
401,Estonia,2019,0,0,0.00031483148456403447
402,Estonia,2020,0,0,0.00031483148456403447
403,Estonia,2021,0,0,0.00031483148456403447
404,Estonia,2022,0,0,0.00031483148456403447
405,Estonia,2023,0,0,0.00031483148456403447
406,Latvia,2017,0,0,0.00031483148456403447
407,Latvia,2018,0,0,0.00031483148456403447
408,Latvia,2019,0,0,0.00031483148456403447
409,Latvia,2020,0,0,0.00031483148456403447
410,Latvia,2021,0,0,0.00031483148456403447
411,Latvia,2022,0,0,0.00031483148456403447
412,Latvia,2023,0,0,0.00031483148456403447
413,Lithuania,2017,0,0,0.00031483148456403447
414,Lithuania,2018,0,0,0.00031483148456403447
415,Lithuania,2019,0,0,0.00031483148456403447
416,Lithuania,2020,0,0,0.00031483148456403447
417,Lithuania,2021,0,0,0.00031483148456403447
418,Lithuania,2022,0,0,0.00031483148456403447
419,Lithuania,2023,0,0,0.00031483148456403447
420,Ukraine,2017,0,0,0.034499472067254344
421,Ukraine,2018,0,0,0.005921324458816792
422,Ukraine,2019,0,0,0.0037079208773608
423,Ukraine,2020,0,0,0.007207958093306372
424,Ukraine,2021,0,0,0.007645728065693414
425,Ukraine,2022,0,0,0.008037627025543281
426,Ukraine,2023,0,0,0.006366559291978052
427,Belarus,2017,0,0,0.00031483148456403447
428,Belarus,2018,0,0,0.00031483148456403447
429,Belarus,2019,0,0,0.00031483148456403447
430,Belarus,2020,0,0,0.00031483148456403447
431,Belarus,2021,0,0,0.00031483148456403447
432,Belarus,2022,0,0,0.00031483148456403447
433,Belarus,2023,0,0,0.00031483148456403447
434,Armenia,2017,0,0,0.00031483148456403447
435,Armenia,2018,0,0,0.00031483148456403447
436,Armenia,2019,0,0,0.015115762905946451
437,Armenia,2020,0,0,0.015115762905946451
438,Armenia,2021,0,0,0.00031483148456403447
