,country,year,d_protest,preds,preds_proba
292,Ethiopia,2021,1,1,0.7835497835497836
293,Ethiopia,2022,1,1,0.7835497835497836
294,Ethiopia,2023,1,1,0.7619047619047619
295,Fiji,2021,0,0,0.4805194805194805
296,Fiji,2022,0,0,0.47619047619047616
297,Fiji,2023,0,0,0.47186147186147187
298,Finland,2020,1,1,0.5411255411255411
299,Finland,2021,1,1,0.5324675324675324
300,Finland,2022,1,1,0.5324675324675324
301,Finland,2023,1,1,0.5411255411255411
302,France,2020,1,1,0.7229437229437229
303,France,2021,1,1,0.7229437229437229
304,France,2022,1,1,0.7229437229437229
305,France,2023,1,1,0.7186147186147186
306,Gabon,2017,0,0,0.10822510822510822
307,Gabon,2018,0,0,0.15151515151515152
308,Gabon,2019,1,0,0.18614718614718614
309,Gabon,2020,0,0,0.20346320346320346
310,Gabon,2021,1,0,0.21645021645021645
311,Gabon,2022,1,0,0.21212121212121213
312,Gabon,2023,1,0,0.2077922077922078
313,Gambia,2017,0,0,0.017316017316017316
314,Gambia,2018,0,0,0.05194805194805195
315,Gambia,2019,0,0,0.09523809523809523
316,Gambia,2020,0,0,0.09090909090909091
317,Gambia,2021,0,0,0.09956709956709957
318,Gambia,2022,0,0,0.11255411255411256
319,Gambia,2023,0,0,0.11255411255411256
320,Georgia,2018,1,1,0.6623376623376623
321,Georgia,2019,1,1,0.6623376623376623
322,Georgia,2020,1,1,0.670995670995671
323,Georgia,2021,1,1,0.670995670995671
324,Georgia,2022,1,1,0.6666666666666666
325,Georgia,2023,1,1,0.6753246753246753
326,Germany,2020,1,1,0.7445887445887446
327,Germany,2021,1,1,0.7402597402597403
328,Germany,2022,1,1,0.7402597402597403
329,Germany,2023,1,1,0.7402597402597403
330,Ghana,2017,1,1,0.7186147186147186
331,Ghana,2018,1,1,0.6926406926406926
332,Ghana,2019,1,1,0.6320346320346321
333,Ghana,2020,1,1,0.6103896103896104
334,Ghana,2021,1,1,0.5930735930735931
335,Ghana,2022,1,1,0.5714285714285714
336,Ghana,2023,1,1,0.6017316017316018
337,Greece,2018,1,1,0.7316017316017316
338,Greece,2019,1,1,0.7229437229437229
339,Greece,2020,1,1,0.7272727272727273
340,Greece,2021,1,1,0.7229437229437229
341,Greece,2022,1,1,0.7229437229437229
342,Greece,2023,1,1,0.7229437229437229
343,Guatemala,2018,1,0,0.3939393939393939
344,Guatemala,2019,1,0,0.38961038961038963
345,Guatemala,2020,1,0,0.48484848484848486
346,Guatemala,2021,1,1,0.5324675324675324
347,Guatemala,2022,1,1,0.5497835497835498
