,country,year,d_osv,preds,preds_proba
369,Cyprus,2022,0,0,0.00015313935681470137
370,Cyprus,2023,0,0,0.00015313935681470137
371,Bulgaria,2017,0,0,0.0077304964539007094
372,Bulgaria,2018,0,0,0.0077304964539007094
373,Bulgaria,2019,0,0,0.00015313935681470137
374,Bulgaria,2020,0,0,0.0077304964539007094
375,Bulgaria,2021,0,0,0.0077304964539007094
376,Bulgaria,2022,0,0,0.00015313935681470137
377,Bulgaria,2023,0,0,0.0077304964539007094
378,Moldova,2017,0,0,0.040192307692307694
379,Moldova,2018,0,0,0.040192307692307694
380,Moldova,2019,0,0,0.040192307692307694
381,Moldova,2020,0,0,0.040192307692307694
382,Moldova,2021,0,0,0.040192307692307694
383,Moldova,2022,0,0,0.040192307692307694
384,Moldova,2023,0,0,0.0
385,Romania,2017,0,0,0.00015313935681470137
386,Romania,2018,0,0,0.00015313935681470137
387,Romania,2019,0,0,0.00015313935681470137
388,Romania,2020,0,0,0.00015313935681470137
389,Romania,2021,0,0,0.00015313935681470137
390,Romania,2022,0,0,0.00015313935681470137
391,Romania,2023,0,0,0.0077304964539007094
392,Russia (Soviet Union),2017,0,1,0.8609523809523809
393,Russia (Soviet Union),2018,1,0,0.3484210526315789
394,Russia (Soviet Union),2019,0,1,0.8609523809523809
395,Russia (Soviet Union),2020,1,0,0.3484210526315789
396,Russia (Soviet Union),2021,0,1,0.8609523809523809
397,Russia (Soviet Union),2022,0,0,0.3484210526315789
398,Russia (Soviet Union),2023,0,0,0.33865384615384614
399,Estonia,2017,0,0,0.0
400,Estonia,2018,0,0,0.040192307692307694
401,Estonia,2019,0,0,0.0
402,Estonia,2020,0,0,0.040192307692307694
403,Estonia,2021,0,0,0.0
404,Estonia,2022,0,0,0.040192307692307694
405,Estonia,2023,0,0,0.040192307692307694
406,Latvia,2017,0,0,0.0
407,Latvia,2018,0,0,0.040192307692307694
408,Latvia,2019,0,0,0.0
409,Latvia,2020,0,0,0.040192307692307694
410,Latvia,2021,0,0,0.0
411,Latvia,2022,0,0,0.040192307692307694
412,Latvia,2023,0,0,0.040192307692307694
413,Lithuania,2017,0,0,0.0
414,Lithuania,2018,0,0,0.040192307692307694
