,country,year,d_ns,preds,preds_proba
437,Armenia,2020,0,0,0.015302359882005899
438,Armenia,2021,0,0,0.013089970501474925
439,Armenia,2022,0,0,0.013827433628318581
440,Armenia,2023,0,0,0.014233038348082594
441,Georgia,2017,0,0,0.0038716814159292035
442,Georgia,2018,0,0,0.006084070796460177
443,Georgia,2019,0,0,0.006084070796460177
444,Georgia,2020,0,0,0.00663716814159292
445,Georgia,2021,0,0,0.008849557522123894
446,Georgia,2022,0,0,0.008849557522123894
447,Georgia,2023,0,0,0.01607669616519174
448,Azerbaijan,2017,0,0,0.006278409389139084
449,Azerbaijan,2018,0,0,0.005309734513274336
450,Azerbaijan,2019,0,0,0.00752212389380531
451,Azerbaijan,2020,0,0,0.015202275600505688
452,Azerbaijan,2021,0,0,0.021681415929203543
453,Azerbaijan,2022,0,0,0.012831858407079646
454,Azerbaijan,2023,0,0,0.009771386430678465
455,Finland,2017,0,0,0.0
456,Finland,2018,0,0,0.0
457,Finland,2019,0,0,0.0
458,Finland,2020,0,0,0.004424778761061947
459,Finland,2021,0,0,0.0022123893805309734
460,Finland,2022,0,0,0.004056047197640118
461,Finland,2023,0,0,0.008849557522123894
462,Sweden,2017,0,0,0.0
463,Sweden,2018,0,0,0.0
464,Sweden,2019,0,0,0.00044247787610619474
465,Sweden,2020,0,0,0.0011799410029498525
466,Sweden,2021,0,0,0.00044247787610619474
467,Sweden,2022,0,0,0.00044247787610619474
468,Sweden,2023,0,0,0.009292035398230088
469,Norway,2017,0,0,0.0
470,Norway,2018,0,0,0.0
471,Norway,2019,0,0,0.0
472,Norway,2020,0,0,0.0
473,Norway,2021,0,0,0.0
474,Norway,2022,0,0,0.0
475,Norway,2023,0,0,0.008849557522123894
476,Denmark,2017,0,0,0.012852928782132324
477,Denmark,2018,0,0,0.012199747155499367
478,Denmark,2019,0,0,0.0022123893805309734
479,Denmark,2020,0,0,0.0022123893805309734
480,Denmark,2021,0,0,0.0022123893805309734
481,Denmark,2022,0,0,0.0022123893805309734
482,Denmark,2023,0,0,0.00663716814159292
483,Iceland,2017,0,0,0.0
484,Iceland,2018,0,0,0.012831858407079646
485,Iceland,2019,0,0,0.023525073746312682
486,Iceland,2020,0,0,0.02541789577187807
487,Iceland,2021,0,0,0.0316125860373648
488,Iceland,2022,0,0,0.021976401179941003
489,Iceland,2023,0,0,0.02463126843657817
490,Cabo Verde,2017,0,0,0.010160783169632726
491,Cabo Verde,2018,0,0,0.011697898478046411
492,Cabo Verde,2019,0,0,0.015274594643238154
493,Cabo Verde,2020,0,0,0.01306220526270718
494,Cabo Verde,2021,0,0,0.017486984023769126
495,Cabo Verde,2022,0,0,0.024183117767188563
496,Cabo Verde,2023,0,0,0.03698337061168919
497,Guinea-Bissau,2017,0,0,0.01841976335277579
498,Guinea-Bissau,2018,0,0,0.01969161001658056
499,Guinea-Bissau,2019,0,0,0.026546250733472842
500,Guinea-Bissau,2020,0,0,0.03751601474527226
501,Guinea-Bissau,2021,0,0,0.03226158996651119
502,Guinea-Bissau,2022,0,0,0.037481089067007034
503,Guinea-Bissau,2023,0,0,0.06592609538811955
504,Equatorial Guinea,2017,0,0,0.0171454553225567
505,Equatorial Guinea,2018,0,0,0.026806222284208623
506,Equatorial Guinea,2019,0,0,0.050036310779783835
507,Equatorial Guinea,2020,0,0,0.051932644534524675
508,Equatorial Guinea,2021,0,0,0.047729104711515834
509,Equatorial Guinea,2022,0,0,0.043794212170428594
510,Equatorial Guinea,2023,0,0,0.0657706133503696
511,Gambia,2017,0,0,0.06827686732340332
512,Gambia,2018,0,0,0.07937568738240038
513,Gambia,2019,0,0,0.07709543899986153
514,Gambia,2020,0,0,0.06914996801902916
515,Gambia,2021,0,0,0.07088278078018732
516,Gambia,2022,0,0,0.062287606832998624
517,Gambia,2023,0,0,0.07161651538757091
518,Mali,2017,1,1,0.8317258597203031
519,Mali,2018,1,1,0.7794028508707457
520,Mali,2019,1,1,0.6171355005473134
521,Mali,2020,1,1,0.5156871726629711
522,Mali,2021,1,0,0.3675157489716889
523,Mali,2022,1,0,0.35297393049601244
524,Mali,2023,1,0,0.36194678751053105
525,Senegal,2017,0,0,0.04174475915909645
