,country,year,d_terror,preds_proba
284,Guinea-Bissau,2017,0,0.1622248540120544
285,Guinea-Bissau,2018,0,0.1934163983021464
286,Guinea-Bissau,2019,0,0.20040454260237578
287,Guinea-Bissau,2020,0,0.1952143198043932
288,Equatorial Guinea,2017,0,0.09211586817563937
289,Equatorial Guinea,2018,0,0.09389586202007726
290,Equatorial Guinea,2019,0,0.10245707921911688
291,Equatorial Guinea,2020,0,0.11887264432624131
292,Gambia,2017,0,0.07232743377853278
293,Gambia,2018,0,0.07133493344682625
294,Gambia,2019,0,0.09372268790650713
295,Gambia,2020,0,0.09216222166986743
296,Mali,2017,1,0.8787439778867949
297,Mali,2018,1,0.8502525713577802
298,Mali,2019,1,0.8523733802121404
299,Mali,2020,1,0.8503735930243655
300,Senegal,2017,0,0.44088716480905926
301,Senegal,2018,1,0.37918676278216684
302,Senegal,2019,0,0.49371282885778356
303,Senegal,2020,0,0.4380549788413808
304,Benin,2017,0,0.051602103330854895
305,Benin,2018,0,0.059180957996085665
306,Benin,2019,1,0.0895135570423425
307,Benin,2020,1,0.2220326367047148
308,Mauritania,2017,0,0.24062316319219598
309,Mauritania,2018,0,0.19317734616205198
310,Mauritania,2019,0,0.22217951444752992
311,Mauritania,2020,0,0.2754600339616361
312,Niger,2017,1,0.8786987783328837
313,Niger,2018,1,0.8467856534096698
314,Niger,2019,1,0.8505233714711002
315,Niger,2020,1,0.8542208210037548
316,Ivory Coast,2017,0,0.6068030757635349
317,Ivory Coast,2018,0,0.5096992031514566
318,Ivory Coast,2019,0,0.5134566225781257
319,Ivory Coast,2020,1,0.47602755434493316
320,Guinea,2017,0,0.2965975835508248
321,Guinea,2018,1,0.2872149782474153
322,Guinea,2019,0,0.3959730825213767
323,Guinea,2020,0,0.32405733338183845
324,Burkina Faso,2017,1,0.6355453586743002
325,Burkina Faso,2018,1,0.6301146397157478
326,Burkina Faso,2019,1,0.6319387452139844
327,Burkina Faso,2020,1,0.6392339646758962
328,Liberia,2017,0,0.10302024810741475
329,Liberia,2018,0,0.12137566067917199
330,Liberia,2019,0,0.15086612014898565
331,Liberia,2020,0,0.12771284665639632
332,Sierra Leone,2017,0,0.3673500550565349
333,Sierra Leone,2018,0,0.25768495763063315
334,Sierra Leone,2019,0,0.24717744443791906
335,Sierra Leone,2020,0,0.23300098996656168
336,Ghana,2017,0,0.05280432744762346
337,Ghana,2018,1,0.06403142156853832
338,Ghana,2019,1,0.21448105183440672
339,Ghana,2020,1,0.19888555676988953
340,Togo,2017,0,0.1516526761221425
341,Togo,2018,0,0.16302521834122735
342,Togo,2019,0,0.18121434536918182
343,Togo,2020,0,0.1778399798152634
344,Cameroon,2017,1,0.7035814189702171
345,Cameroon,2018,1,0.6621207542563808
346,Cameroon,2019,1,0.6688078031560434
347,Cameroon,2020,1,0.6688038509270628
348,Nigeria,2017,1,0.9234656165837178
349,Nigeria,2018,1,0.9002044386636121
350,Nigeria,2019,1,0.9119375382133801
351,Nigeria,2020,1,0.911505009579166
352,Gabon,2017,0,0.05311607189525504
353,Gabon,2018,0,0.053143534379649374
354,Gabon,2019,1,0.06376208037153153
355,Gabon,2020,0,0.194535698293994
356,Central African Republic,2017,1,0.8233921702760078
357,Central African Republic,2018,1,0.7571699152890565
358,Central African Republic,2019,1,0.7649825474455239
359,Central African Republic,2020,1,0.7628771674194287
360,Chad,2017,1,0.7217376074916045
361,Chad,2018,1,0.6910749651611602
362,Chad,2019,1,0.7007631259456375
363,Chad,2020,1,0.7122315633159823
364,Congo,2017,0,0.4663828469308578
365,Congo,2018,0,0.36037190433075533
366,Congo,2019,0,0.3719080783466975
367,Congo,2020,0,0.3436040058885328
368,DR Congo (Zaire),2017,1,0.9278495615612141
369,DR Congo (Zaire),2018,1,0.903035372009305
370,DR Congo (Zaire),2019,1,0.8980532015914691
371,DR Congo (Zaire),2020,1,0.9023281047254136
372,Uganda,2017,1,0.7684486893525075
373,Uganda,2018,1,0.7716451557527186
374,Uganda,2019,1,0.7504542583420959
375,Uganda,2020,0,0.742596596368497
376,Kenya,2017,1,0.914232497188461
377,Kenya,2018,1,0.9159463441324655
378,Kenya,2019,1,0.9103527560776309
379,Kenya,2020,1,0.8822178823385066
380,Tanzania,2017,1,0.7156659851748612
381,Tanzania,2018,1,0.65878572719985
382,Tanzania,2019,1,0.6534353019374027
383,Tanzania,2020,1,0.649632027733475
384,Burundi,2017,1,0.8499529726274773
385,Burundi,2018,1,0.8330535553464393
386,Burundi,2019,1,0.8141936571553716
387,Burundi,2020,1,0.7694184918295999
388,Rwanda,2017,1,0.4172147411040339
389,Rwanda,2018,1,0.5473872530765104
390,Rwanda,2019,1,0.5290802035837471
391,Rwanda,2020,0,0.515509094085637
392,Somalia,2017,1,0.8750277821617061
393,Somalia,2018,1,0.8655674867687353
394,Somalia,2019,1,0.854815649302699
395,Somalia,2020,1,0.8491628845025738
396,Djibouti,2017,0,0.16647496250327282
397,Djibouti,2018,0,0.09963318797117482
398,Djibouti,2019,0,0.1143351973557455
399,Djibouti,2020,0,0.11924806880460964
400,Ethiopia,2017,1,0.9167239152728274
401,Ethiopia,2018,1,0.8724385752039784
402,Ethiopia,2019,1,0.8650759750389819
403,Ethiopia,2020,1,0.8114395817087392
404,Eritrea,2017,0,0.24808545020977055
405,Eritrea,2018,0,0.2602551012815122
406,Eritrea,2019,0,0.26575559699624685
407,Eritrea,2020,0,0.2251738576444946
408,Angola,2017,1,0.20433450944925086
409,Angola,2018,0,0.30618633794045813
410,Angola,2019,1,0.29175765711728363
411,Angola,2020,1,0.363680159566709
412,Mozambique,2017,1,0.736902077439723
413,Mozambique,2018,1,0.6852058251557083
414,Mozambique,2019,1,0.6738196651940662
415,Mozambique,2020,1,0.7092548152341305
416,Zambia,2017,0,0.14297213639760067
417,Zambia,2018,0,0.14902670271392207
418,Zambia,2019,0,0.16632269427091853
419,Zambia,2020,0,0.17042881274032745
420,Zimbabwe,2017,0,0.16746187169338578
421,Zimbabwe,2018,1,0.2031636796149105
422,Zimbabwe,2019,0,0.3594662299861452
423,Zimbabwe,2020,0,0.2806944940175525
424,Malawi,2017,0,0.10546408580876857
425,Malawi,2018,0,0.11099843847129086
426,Malawi,2019,0,0.12742036571321658
427,Malawi,2020,0,0.12340248703906276
428,South Africa,2017,1,0.7078925507059677
429,South Africa,2018,1,0.7005492392694012
430,South Africa,2019,1,0.6859420231803042
431,South Africa,2020,1,0.641842436552668
432,Namibia,2017,0,0.07459672449795063
433,Namibia,2018,0,0.08186235468289235
434,Namibia,2019,0,0.10540245450185814
435,Namibia,2020,0,0.07719366833723543
436,Lesotho,2017,0,0.21469118785484576
437,Lesotho,2018,0,0.1405583333105949
438,Lesotho,2019,0,0.2128157339678093
