,country,gw_codes,year,sb_fatalities,preds
317,Belgium,211,2022,0,0.01288308330577368
318,Belgium,211,2022,0,0.01288308330577368
319,Belgium,211,2022,0,0.01288308330577368
320,Belgium,211,2022,0,0.01288308330577368
321,Belgium,211,2022,0,0.01288308330577368
322,Belgium,211,2022,0,0.01288308330577368
323,Belgium,211,2022,0,0.01288308330577368
324,Belgium,211,2023,0,0.014010676794463241
325,Belgium,211,2023,0,0.014010676794463241
326,Belgium,211,2023,0,0.014010676794463241
327,Belgium,211,2023,0,0.014010676794463241
328,Belgium,211,2023,0,0.014010676794463241
329,Belgium,211,2023,0,0.014010676794463241
330,Belgium,211,2023,0,0.014010676794463241
331,Belgium,211,2023,0,0.014010676794463241
332,Belgium,211,2023,0,0.014010676794463241
333,Belgium,211,2023,0,0.014010676794463241
334,Belgium,211,2023,0,0.014010676794463241
335,Belgium,211,2023,0,0.014010676794463241
336,Benin,434,2022,2,0.19218955775111
337,Benin,434,2022,9,0.19218955775111
338,Benin,434,2022,0,0.19218955775111
339,Benin,434,2022,6,12.082816962213544
340,Benin,434,2022,0,8.843677830439002
341,Benin,434,2022,4,8.546189271493349
342,Benin,434,2022,0,0.19218955775111
343,Benin,434,2022,0,0.19218955775111
344,Benin,434,2022,0,0.19218955775111
345,Benin,434,2022,8,0.19218955775111
346,Benin,434,2022,1,0.19218955775111
347,Benin,434,2022,0,9.389706360353781
348,Benin,434,2023,2,17.537675623734927
349,Benin,434,2023,3,16.271809799871953
350,Benin,434,2023,2,25.360837104267883
351,Benin,434,2023,0,11.827609758989126
352,Benin,434,2023,10,19.466093087124207
353,Benin,434,2023,0,9.947073085688473
354,Benin,434,2023,0,16.57680877912583
355,Benin,434,2023,6,9.470026987122521
356,Benin,434,2023,2,8.938798083361315
357,Benin,434,2023,0,0.20284489401604397
358,Benin,434,2023,1,16.536860702108555
359,Benin,434,2023,2,13.2501045849468
360,Bhutan,760,2022,0,0.11722284886509425
361,Bhutan,760,2022,0,0.11722284886509425
362,Bhutan,760,2022,0,0.11722284886509425
363,Bhutan,760,2022,0,0.11722284886509425
364,Bhutan,760,2022,0,0.11722284886509425
365,Bhutan,760,2022,0,0.11722284886509425
366,Bhutan,760,2022,0,0.11722284886509425
367,Bhutan,760,2022,0,0.11722284886509425
368,Bhutan,760,2022,0,0.11722284886509425
369,Bhutan,760,2022,0,0.11722284886509425
370,Bhutan,760,2022,0,0.11722284886509425
371,Bhutan,760,2022,0,0.11722284886509425
372,Bhutan,760,2023,0,0.11582176596902992
373,Bhutan,760,2023,0,0.11582176596902992
374,Bhutan,760,2023,0,0.11582176596902992
375,Bhutan,760,2023,0,0.11582176596902992
376,Bhutan,760,2023,0,0.11582176596902992
377,Bhutan,760,2023,0,0.11582176596902992
378,Bhutan,760,2023,0,0.11582176596902992
379,Bhutan,760,2023,0,0.11582176596902992
380,Bhutan,760,2023,0,0.11582176596902992
381,Bhutan,760,2023,0,0.11582176596902992
382,Bhutan,760,2023,0,0.11582176596902992
383,Bhutan,760,2023,0,0.11582176596902992
384,Bolivia,145,2022,0,0.09802897098037124
385,Bolivia,145,2022,0,0.09802897098037124
386,Bolivia,145,2022,0,0.09802897098037124
387,Bolivia,145,2022,0,0.09802897098037124
388,Bolivia,145,2022,0,0.09802897098037124
389,Bolivia,145,2022,0,0.09802897098037124
390,Bolivia,145,2022,0,0.09802897098037124
391,Bolivia,145,2022,0,0.09802897098037124
392,Bolivia,145,2022,0,0.09802897098037124
393,Bolivia,145,2022,0,0.09802897098037124
394,Bolivia,145,2022,0,0.09802897098037124
395,Bolivia,145,2022,0,0.09802897098037124
396,Bolivia,145,2023,0,0.09834274349430641
397,Bolivia,145,2023,0,0.09834274349430641
398,Bolivia,145,2023,0,0.09834274349430641
399,Bolivia,145,2023,0,0.09834274349430641
400,Bolivia,145,2023,0,0.09834274349430641
401,Bolivia,145,2023,0,0.09834274349430641
402,Bolivia,145,2023,0,0.09834274349430641
403,Bolivia,145,2023,0,0.09834274349430641
404,Bolivia,145,2023,0,0.09834274349430641
405,Bolivia,145,2023,0,0.09834274349430641
406,Bolivia,145,2023,0,0.09834274349430641
407,Bolivia,145,2023,0,0.09834274349430641
408,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
409,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
410,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
411,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
412,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
413,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
414,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
415,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
416,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
417,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
418,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
419,Bosnia-Herzegovina,346,2022,0,0.059645337223855587
420,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
421,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
422,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
423,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
424,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
425,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
426,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
427,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
428,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
429,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
430,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
431,Bosnia-Herzegovina,346,2023,0,0.06225420991680864
432,Botswana,571,2022,0,0.05419936357362956
433,Botswana,571,2022,0,0.05419936357362956
434,Botswana,571,2022,0,0.05419936357362956
435,Botswana,571,2022,0,0.05419936357362956
436,Botswana,571,2022,0,0.05419936357362956
437,Botswana,571,2022,0,0.05419936357362956
438,Botswana,571,2022,0,0.05419936357362956
439,Botswana,571,2022,0,0.05419936357362956
440,Botswana,571,2022,0,0.05419936357362956
441,Botswana,571,2022,0,0.05419936357362956
442,Botswana,571,2022,0,0.05419936357362956
443,Botswana,571,2022,0,0.05419936357362956
444,Botswana,571,2023,0,0.0585952701691271
445,Botswana,571,2023,0,0.0585952701691271
446,Botswana,571,2023,0,0.0585952701691271
447,Botswana,571,2023,0,0.0585952701691271
448,Botswana,571,2023,0,0.0585952701691271
449,Botswana,571,2023,0,0.0585952701691271
450,Botswana,571,2023,0,0.0585952701691271
451,Botswana,571,2023,0,0.0585952701691271
452,Botswana,571,2023,0,0.0585952701691271
453,Botswana,571,2023,0,0.0585952701691271
454,Botswana,571,2023,0,0.0585952701691271
455,Botswana,571,2023,0,0.0585952701691271
456,Brazil,140,2022,0,0.04320308779801547
457,Brazil,140,2022,0,0.04320308779801547
458,Brazil,140,2022,0,0.04320308779801547
459,Brazil,140,2022,0,0.04320308779801547
460,Brazil,140,2022,0,0.04320308779801547
461,Brazil,140,2022,0,0.04320308779801547
462,Brazil,140,2022,0,0.04320308779801547
463,Brazil,140,2022,0,0.04320308779801547
464,Brazil,140,2022,0,0.04320308779801547
465,Brazil,140,2022,0,0.04320308779801547
466,Brazil,140,2022,0,0.04320308779801547
467,Brazil,140,2022,0,0.04320308779801547
468,Brazil,140,2023,0,0.04047463828489854
469,Brazil,140,2023,0,0.04047463828489854
470,Brazil,140,2023,0,0.04047463828489854
471,Brazil,140,2023,0,0.04047463828489854
472,Brazil,140,2023,0,0.04047463828489854
473,Brazil,140,2023,0,0.04047463828489854
474,Brazil,140,2023,0,0.04047463828489854
475,Brazil,140,2023,0,0.04047463828489854
476,Brazil,140,2023,0,0.04047463828489854
477,Brazil,140,2023,0,0.04047463828489854
478,Brazil,140,2023,0,0.04047463828489854
479,Brazil,140,2023,0,0.04047463828489854
480,Bulgaria,355,2022,0,0.03677772819986348
481,Bulgaria,355,2022,0,0.03677772819986348
482,Bulgaria,355,2022,0,0.03677772819986348
483,Bulgaria,355,2022,0,0.03677772819986348
484,Bulgaria,355,2022,0,0.03677772819986348
485,Bulgaria,355,2022,0,0.03677772819986348
486,Bulgaria,355,2022,0,0.03677772819986348
487,Bulgaria,355,2022,0,0.03677772819986348
488,Bulgaria,355,2022,0,0.03677772819986348
489,Bulgaria,355,2022,0,0.03677772819986348
490,Bulgaria,355,2022,0,0.03677772819986348
491,Bulgaria,355,2022,0,0.03677772819986348
492,Bulgaria,355,2023,0,0.03801852934229129
493,Bulgaria,355,2023,0,0.03801852934229129
494,Bulgaria,355,2023,0,0.03801852934229129
495,Bulgaria,355,2023,0,0.03801852934229129
496,Bulgaria,355,2023,0,0.03801852934229129
497,Bulgaria,355,2023,0,0.03801852934229129
498,Bulgaria,355,2023,0,0.03801852934229129
499,Bulgaria,355,2023,0,0.03801852934229129
500,Bulgaria,355,2023,0,0.03801852934229129
501,Bulgaria,355,2023,0,0.03801852934229129
502,Bulgaria,355,2023,0,0.03801852934229129
503,Bulgaria,355,2023,0,0.03801852934229129
504,Burkina Faso,439,2022,90,36.58241241599775
505,Burkina Faso,439,2022,126,65.0736116215769
506,Burkina Faso,439,2022,193,50.401006905649496
507,Burkina Faso,439,2022,116,71.11261813817265
508,Burkina Faso,439,2022,280,71.30392965985597
509,Burkina Faso,439,2022,148,98.81268063061766
510,Burkina Faso,439,2022,146,87.32571834143313
511,Burkina Faso,439,2022,178,105.89147429103964
512,Burkina Faso,439,2022,207,160.2804108319156
513,Burkina Faso,439,2022,87,75.05740984291181
514,Burkina Faso,439,2022,249,120.0004690570507
515,Burkina Faso,439,2022,149,125.82109354475188
516,Burkina Faso,439,2023,216,177.8972229780815
517,Burkina Faso,439,2023,367,155.94301183797774
518,Burkina Faso,439,2023,490,164.92558112076415
519,Burkina Faso,439,2023,428,192.54317270024762
520,Burkina Faso,439,2023,351,177.06794097410798
521,Burkina Faso,439,2023,656,236.3695952820185
