,country,dd,sb_fatalities,preds
416,Bosnia-Herzegovina,2022-09,0,0.0
417,Bosnia-Herzegovina,2022-10,0,0.0
418,Bosnia-Herzegovina,2022-11,0,0.0
419,Bosnia-Herzegovina,2022-12,0,0.0
420,Bosnia-Herzegovina,2023-01,0,0.0
421,Bosnia-Herzegovina,2023-02,0,0.0
422,Bosnia-Herzegovina,2023-03,0,0.0
423,Bosnia-Herzegovina,2023-04,0,0.0
424,Bosnia-Herzegovina,2023-05,0,0.0
425,Bosnia-Herzegovina,2023-06,0,0.0
426,Bosnia-Herzegovina,2023-07,0,0.0
427,Bosnia-Herzegovina,2023-08,0,0.0
428,Bosnia-Herzegovina,2023-09,0,0.0
429,Bosnia-Herzegovina,2023-10,0,0.0
430,Bosnia-Herzegovina,2023-11,0,0.0
431,Bosnia-Herzegovina,2023-12,0,0.0
432,Botswana,2022-01,0,0.0
433,Botswana,2022-02,0,0.0
434,Botswana,2022-03,0,0.0
435,Botswana,2022-04,0,0.0
436,Botswana,2022-05,0,0.0
437,Botswana,2022-06,0,0.0
438,Botswana,2022-07,0,0.0
439,Botswana,2022-08,0,0.0
440,Botswana,2022-09,0,0.0
441,Botswana,2022-10,0,0.0
442,Botswana,2022-11,0,0.0
443,Botswana,2022-12,0,0.0
444,Botswana,2023-01,0,0.0
445,Botswana,2023-02,0,0.0
446,Botswana,2023-03,0,0.0
447,Botswana,2023-04,0,0.0
448,Botswana,2023-05,0,0.0
449,Botswana,2023-06,0,0.0
450,Botswana,2023-07,0,0.0
451,Botswana,2023-08,0,0.0
452,Botswana,2023-09,0,0.0
453,Botswana,2023-10,0,0.0
454,Botswana,2023-11,0,0.0
455,Botswana,2023-12,0,0.0
456,Brazil,2022-01,0,133.6
457,Brazil,2022-02,0,76.78
458,Brazil,2022-03,0,76.78
459,Brazil,2022-04,0,76.78
460,Brazil,2022-05,0,76.78
461,Brazil,2022-06,0,76.78
462,Brazil,2022-07,0,35.82
463,Brazil,2022-08,0,35.82
464,Brazil,2022-09,0,35.82
465,Brazil,2022-10,0,35.82
466,Brazil,2022-11,0,35.82
467,Brazil,2022-12,0,35.82
468,Brazil,2023-01,0,0.0
469,Brazil,2023-02,0,47.38
470,Brazil,2023-03,0,47.38
471,Brazil,2023-04,0,47.38
472,Brazil,2023-05,0,47.38
473,Brazil,2023-06,0,47.38
474,Brazil,2023-07,0,36.67
475,Brazil,2023-08,0,36.67
476,Brazil,2023-09,0,68.45
477,Brazil,2023-10,0,231.23
478,Brazil,2023-11,0,231.23
479,Brazil,2023-12,0,231.23
480,Bulgaria,2022-01,0,0.0
481,Bulgaria,2022-02,0,0.0
482,Bulgaria,2022-03,0,0.0
483,Bulgaria,2022-04,0,0.0
484,Bulgaria,2022-05,0,0.0
485,Bulgaria,2022-06,0,0.0
486,Bulgaria,2022-07,0,0.0
487,Bulgaria,2022-08,0,0.0
488,Bulgaria,2022-09,0,0.0
489,Bulgaria,2022-10,0,0.0
490,Bulgaria,2022-11,0,0.0
491,Bulgaria,2022-12,0,0.0
492,Bulgaria,2023-01,0,0.0
493,Bulgaria,2023-02,0,0.0
